Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | AKP | CHP | MHP | HDP | İYİ | SP | DEVA | GP | YRP | MP | TİP | ZP | DEM | Other
Aksoy | N/A | 2023-04-26 | 2023-04-28 | N | 1537 | N/A | 0.1 | 34.7 | 32.1 | 6.8 | N/A | 9.0 | N/A | N/A | N/A | N/A | N/A | 1.9 | N/A | 9.6 | 5.9
S. Politik | N/A | 2023-04-24 | 2023-04-28 | N | 1569 | N/A | 0.1 | 32.3 | 28.7 | 6.1 | N/A | 11.3 | 0.9 | 3.4 | 1.1 | N/A | 1.4 | 1.1 | 2.0 | 11.7 | 0.3
TEAM | N/A | 2023-04-23 | 2023-04-26 | N | 3054 | N/A | 0.1 | 35.9 | 27.6 | 7.5 | N/A | 11.5 | N/A | N/A | N/A | 1.1 | 3.0 | 1.2 | 0.2 | 11.2 | 0.9
Artıbir | N/A | 2023-04-17 | 2023-04-24 | N | 1500 | N/A | 0.1 | 32.3 | 31.4 | 6.4 | N/A | 10.2 | N/A | N/A | N/A | 2.2 | 3.1 | 1.3 | 0.3 | 11.9 | 0.9
Bulgu | N/A | 2023-04-15 | 2023-04-24 | N | 2400 | N/A | 0.1 | 34.3 | 33.0 | 5.3 | N/A | 8.3 | 0.7 | N/A | 0.1 | 1.5 | 4.0 | 2.3 | 0.4 | 8.7 | 1.2
ORC | N/A | 2023-04-19 | 2023-04-22 | N | 3920 | N/A | 0.1 | 32.8 | 28.6 | 6.3 | N/A | 15.1 | N/A | N/A | N/A | 1.2 | 2.7 | 1.4 | 0.9 | 9.3 | 1.7
AREA | N/A | 2023-04-12 | 2023-04-20 | N | 10277 | N/A | 0.1 | 35.9 | 29.6 | 8.3 | N/A | 8.2 | N/A | N/A | N/A | 1.1 | 1.6 | 1.5 | N/A | 10.5 | 3.4
Yöneylem | N/A | 2023-04-14 | 2023-04-16 | N | 2422 | N/A | 0.1 | 35.8 | 30.4 | 7.4 | N/A | 9.2 | N/A | N/A | N/A | 0.5 | 2.6 | 2.2 | N/A | 10.3 | 1.6
MAK | N/A | 2023-04-10 | 2023-04-16 | N | 5750 | N/A | 0.1 | 35.8 | 29.1 | 7.2 | N/A | 11.7 | N/A | N/A | N/A | 1.4 | 1.2 | 1.4 | 0.8 | 9.5 | 1.9
SONAR | N/A | 2023-04-10 | 2023-04-16 | N | 4541 | N/A | 0.1 | 38.2 | 24.2 | 7.1 | 10.1 | 13.4 | N/A | N/A | N/A | N/A | 4.1 | N/A | N/A | N/A | 2.9
