Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | HDZ | SDP | KH | Most | HSS | BM 365 | HNS–LD | IDS–DDI | Centar | NHR | GLAS | AK | HKS | START | NLMK | Hrast | HS | DP | Možemo | HSU | Fokus | SD | RF | OiP | Other
IPSOS PULS | Nova TV | 2018-05-01 | 2018-05-20 | N | 979 | 91.1 | 0.1 | 26.6 | 18.2 | 14.5 | 7.7 | 3.6 | 3.5 | 1.4 | 2.1 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.5
Promocija plus | HRT | 2018-05-02 | 2018-05-05 | N | 1300 | 86.9 | 0.1 | 26.4 | 20.7 | 12.7 | 7.6 | 2.4 | 2.2 | 2.2 | 1.7 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.0
2x1 Komunikacije | CroElecto | 2018-04-16 | 2018-04-24 | N | 1041 | 84.9 | 0.1 | 25.1 | 21.2 | 12.9 | 9.9 | 1.3 | N/A | 1.1 | 2.0 | 1.0 | 4.6 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.7
IPSOS PULS | Nova TV | 2018-04-01 | 2018-04-20 | N | 988 | 91.6 | 0.1 | 27.6 | 18.0 | 13.8 | 7.1 | 4.6 | 3.0 | 1.0 | 2.6 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.0
Promocija plus | HRT | 2018-04-08 | 2018-04-08 | N | 1300 | 85.5 | 0.1 | 26.8 | 21.1 | 11.2 | 8.1 | 2.1 | 2.0 | 1.9 | 1.6 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.1
IPSOS PULS | Nova TV | 2018-03-01 | 2018-03-20 | N | 976 | 93.6 | 0.1 | 29.5 | 19.3 | 12.9 | 7.1 | 2.9 | 4.1 | 2.0 | 2.6 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.2
2x1 Komunikacije | CroElecto | 2018-03-17 | 2018-03-17 | N | 1041 | 86.6 | 0.1 | 26.4 | 22.1 | 11.1 | 7.9 | N/A | 1.1 | 0.9 | 1.5 | N/A | 4.0 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.6
Promocija plus | HRT | 2018-02-28 | 2018-03-03 | N | 1300 | 85.3 | 0.1 | 28.9 | 20.8 | 10.9 | 7.1 | 2.5 | 2.2 | 2.0 | 1.6 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.0
2x1 Komunikacije | CroElecto | 2018-02-21 | 2018-02-21 | N | N/A | N/A | 0.1 | 28.2 | 21.9 | 12.4 | 7.8 | 1.0 | 1.5 | 1.8 | 1.7 | N/A | 3.3 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
IPSOS PULS | Nova TV | 2018-02-01 | 2018-02-20 | N | 969 | 91.8 | 0.1 | 29.8 | 19.8 | 12.3 | 6.6 | 2.4 | 3.0 | 2.1 | 2.6 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.0
Promocija plus | HRT | 2018-02-04 | 2018-02-04 | N | 1300 | 85.0 | 0.1 | 29.3 | 21.1 | 11.8 | 6.1 | 2.9 | 2.2 | 2.0 | 1.1 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.5
2x1 Komunikacije | CroElecto | 2018-01-26 | 2018-01-26 | N | 1041 | N/A | 0.1 | 32.7 | 19.0 | 9.0 | 5.0 | N/A | N/A | N/A | 1.2 | N/A | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
IPSOS PULS | Nova TV | 2018-01-01 | 2018-01-20 | N | 969 | 92.4 | 0.1 | 30.1 | 20.9 | 13.0 | 6.8 | 2.1 | 3.4 | 2.4 | 2.5 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.8
Promocija plus | HRT | 2018-01-02 | 2018-01-05 | N | N/A | 85.4 | 0.1 | 29.0 | 20.6 | 11.4 | 7.0 | 3.2 | 2.3 | 1.4 | 1.2 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.1
