Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | M5S | Lega | PD | FI | FdI | LS | PaP | +Eu | NcI | CPI | C! | EV | Az | IV | SI | Art.1 | CI | Italexit | IpF | IC | AVS | NM | UP | ISP | DSP | Other
EMG | Rai 3 | 2023-05-11 | 2023-05-11 | N | 1428 | N/A | 0.1 | 16.1 | 9.6 | 20.5 | 6.5 | 28.0 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 3.7 | 3.1 | N/A | N/A | N/A | 2.6 | N/A | N/A | 2.5 | 1.0 | 0.9 | N/A | N/A | 3.0
Termometro Politico | N/A | 2023-05-09 | 2023-05-11 | N | 4200 | N/A | 0.1 | 16.1 | 9.3 | 19.2 | 7.5 | 29.3 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.3 | 2.3 | N/A | N/A | N/A | 2.3 | N/A | N/A | 2.3 | N/A | 1.3 | N/A | 1.5 | 2.2
Index Research | La7 | 2023-05-10 | 2023-05-10 | N | 800 | N/A | 0.1 | 15.7 | 9.0 | 20.6 | 6.6 | 29.5 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.2 | 2.7 | N/A | N/A | N/A | 1.9 | N/A | N/A | 3.3 | N/A | N/A | N/A | N/A | 4.2
Euromedia | La Stampa | 2023-05-08 | 2023-05-08 | N | 1000 | N/A | 0.1 | 16.2 | 9.6 | 19.6 | 6.8 | 28.8 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | 4.6 | 3.5 | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.5 | 0.8 | N/A | N/A | N/A | 3.0
SWG | La7 | 2023-05-03 | 2023-05-08 | N | 1200 | N/A | 0.1 | 15.6 | 9.0 | 21.1 | 6.6 | 29.5 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.1 | 2.8 | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.3 | N/A | 1.6 | N/A | N/A | 2.2
Tecnè | Agenzia Dire | 2023-05-04 | 2023-05-05 | N | 1000 | N/A | 0.1 | 15.7 | 8.9 | 19.6 | 8.7 | 29.3 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.6 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | 5.2
EMG | Rai 3 | 2023-05-04 | 2023-05-04 | N | 1435 | N/A | 0.1 | 16.3 | 9.3 | 20.0 | 6.5 | 28.3 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 4.0 | 3.2 | N/A | N/A | N/A | 2.7 | N/A | N/A | 2.7 | 1.0 | 1.0 | N/A | N/A | 2.7
Piepoli | N/A | 2023-05-04 | 2023-05-04 | N | N/A | N/A | 0.5 | 16.5 | 8.5 | 19.0 | 7.0 | 30.0 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | 3.5 | 2.5 | N/A | N/A | N/A | 2.0 | N/A | N/A | 2.5 | 1.5 | N/A | N/A | N/A | 5.0
Quorum – YouTrend | Sky TG24 | 2023-05-03 | 2023-05-04 | N | 805 | N/A | 0.1 | 16.9 | 8.4 | 20.8 | 6.4 | 28.6 | N/A | N/A | 1.9 | N/A | N/A | N/A | N/A | 4.2 | 2.5 | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.0 | 1.0 | N/A | N/A | N/A | 4.5
Termometro Politico | N/A | 2023-05-02 | 2023-05-04 | N | 4100 | N/A | 0.1 | 16.1 | 9.3 | 18.9 | 7.4 | 29.6 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.2 | 2.3 | N/A | N/A | N/A | 2.5 | N/A | N/A | 2.4 | N/A | 1.5 | N/A | 1.4 | 1.9
Lab2101 | Affari Italiani | 2023-05-02 | 2023-05-04 | N | 1000 | N/A | 0.1 | 15.9 | 9.8 | 19.8 | 6.7 | 29.2 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | 5.4 | 2.3 | N/A | N/A | N/A | 2.5 | N/A | N/A | 3.4 | 0.4 | N/A | N/A | N/A | 2.4
Index Research | La7 | 2023-05-03 | 2023-05-03 | N | 800 | N/A | 0.1 | 15.6 | 9.0 | 20.8 | 6.7 | 29.1 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.4 | 2.6 | N/A | N/A | N/A | 2.0 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | 4.2
SWG | La7 | 2023-04-26 | 2023-04-30 | N | 1200 | N/A | 0.1 | 15.3 | 9.0 | 21.5 | 6.8 | 28.8 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 4.3 | 2.5 | N/A | N/A | N/A | 2.1 | N/A | N/A | 3.2 | N/A | 1.8 | N/A | N/A | 2.4
Tecnè | Agenzia Dire | 2023-04-27 | 2023-04-28 | N | 1000 | N/A | 0.1 | 15.9 | 9.0 | 19.4 | 8.4 | 29.4 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 4.5 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 5.5
EMG | Rai 3 | 2023-04-27 | 2023-04-27 | N | 1536 | N/A | 0.1 | 16.3 | 9.3 | 19.9 | 6.8 | 27.8 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | 4.2 | 3.4 | N/A | N/A | N/A | 2.7 | N/A | N/A | 2.9 | 1.1 | 1.1 | N/A | N/A | 2.4
Demos & Pi | La Repubblica | 2023-04-26 | 2023-04-27 | N | 1007 | N/A | 0.1 | 15.6 | 8.2 | 20.1 | 7.6 | 29.3 | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A | 4.2 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 6.7
Quorum – YouTrend | Sky TG24 | 2023-04-26 | 2023-04-27 | N | 804 | N/A | 0.1 | 16.6 | 8.6 | 20.8 | 6.2 | 29.0 | N/A | N/A | 1.8 | N/A | N/A | N/A | N/A | 4.1 | 2.4 | N/A | N/A | N/A | 1.5 | N/A | N/A | 3.0 | 1.1 | N/A | N/A | N/A | 4.9
Termometro Politico | N/A | 2023-04-25 | 2023-04-27 | N | 3900 | N/A | 0.1 | 15.9 | 9.5 | 18.7 | 7.7 | 29.6 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.1 | 2.4 | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.3 | N/A | 1.4 | N/A | 1.5 | 2.0
Lab2101 | Affari Italiani | 2023-04-24 | 2023-04-27 | N | 1000 | N/A | 0.1 | 15.8 | 9.7 | 20.1 | 6.6 | 29.1 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 5.5 | 2.4 | N/A | N/A | N/A | 2.4 | N/A | N/A | 3.3 | 0.6 | N/A | N/A | N/A | 2.2
Euromedia | Rai 1 | 2023-04-26 | 2023-04-26 | N | 800 | N/A | 0.1 | 15.7 | 9.5 | 20.1 | 7.1 | 29.0 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | 4.5 | 3.9 | N/A | N/A | N/A | 2.3 | N/A | N/A | 1.9 | 0.6 | N/A | N/A | N/A | 3.3
SWG | La7 | 2023-04-19 | 2023-04-24 | N | 1200 | N/A | 0.1 | 15.4 | 9.3 | 21.1 | 6.6 | 28.6 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.4 | 2.4 | N/A | N/A | N/A | 2.3 | N/A | N/A | 3.0 | 0.8 | 1.8 | N/A | N/A | 1.9
Piepoli | N/A | 2023-04-21 | 2023-04-21 | N | N/A | N/A | 0.5 | 16.0 | 8.5 | 18.0 | 8.0 | 30.0 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | 4.0 | 2.5 | N/A | N/A | N/A | 2.0 | N/A | N/A | 2.5 | 1.5 | N/A | N/A | N/A | 5.5
Tecnè | Agenzia Dire | 2023-04-20 | 2023-04-21 | N | 1000 | N/A | 0.1 | 15.7 | 9.0 | 19.6 | 8.3 | 29.3 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.4 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | 5.7
Lab2101 | Affari Italiani | 2023-04-18 | 2023-04-21 | N | 1000 | N/A | 0.1 | 15.6 | 9.8 | 19.8 | 6.5 | 29.3 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 5.7 | 2.5 | N/A | N/A | N/A | 2.4 | N/A | N/A | 3.2 | 0.5 | N/A | N/A | N/A | 2.4
EMG | Rai 3 | 2023-04-20 | 2023-04-20 | N | 1485 | N/A | 0.1 | 16.6 | 9.0 | 19.9 | 7.2 | 27.3 | N/A | N/A | 1.9 | N/A | N/A | N/A | N/A | 4.4 | 3.6 | N/A | N/A | N/A | 2.8 | N/A | N/A | 3.0 | 1.2 | 1.3 | N/A | N/A | 1.8
Termometro Politico | N/A | 2023-04-18 | 2023-04-20 | N | 4100 | N/A | 0.1 | 16.2 | 9.7 | 18.7 | 7.5 | 29.2 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.5 | 1.5 | 2.4 | N/A | 1.5 | N/A
Ipsos | Corriere della Sera | 2023-04-18 | 2023-04-20 | N | 1000 | N/A | 0.1 | 16.5 | 8.0 | 20.7 | 8.0 | 29.0 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6 | N/A | N/A | 3.3 | 1.3 | 1.3 | N/A | 1.2 | 1.6
Quorum – YouTrend | Sky TG24 | 2023-04-18 | 2023-04-20 | N | 802 | N/A | 0.1 | 16.9 | 8.7 | 20.7 | 6.8 | 29.4 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | 3.5 | 2.1 | N/A | N/A | N/A | 1.8 | N/A | N/A | 2.6 | 1.3 | N/A | N/A | N/A | 4.2
Index Research | La7 | 2023-04-19 | 2023-04-19 | N | 800 | N/A | 0.1 | 15.7 | 9.3 | 20.5 | 6.4 | 29.1 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | N/A | N/A | 2.5 | N/A | 2.0 | N/A | N/A | N/A
Demopolis | N/A | 2023-04-18 | 2023-04-19 | N | 2000 | N/A | 0.1 | 15.0 | 9.0 | 20.5 | 6.8 | 29.2 | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8 | N/A | N/A | 2.0 | N/A | 1.7 | N/A | 1.5 | N/A
Noto Sondaggi | N/A | 2023-04-18 | 2023-04-19 | N | 1000 | N/A | 0.5 | 15.0 | 10.0 | 21.0 | 7.0 | 28.0 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | 5.0 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | 3.0 | 1.5 | N/A | N/A | N/A | 5.0
SWG | La7 | 2023-04-12 | 2023-04-17 | N | 1200 | N/A | 0.1 | 15.4 | 9.4 | 21.0 | 6.3 | 29.0 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3 | N/A | N/A | 2.6 | N/A | 2.1 | N/A | 1.9 | N/A
Piepoli | N/A | 2023-04-15 | 2023-04-15 | N | N/A | N/A | 0.5 | 16.0 | 8.5 | 18.0 | 7.5 | 29.5 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0 | N/A | N/A | 3.0 | 1.5 | N/A | N/A | N/A | 4.0
Tecnè | Agenzia Dire | 2023-04-13 | 2023-04-14 | N | 1000 | N/A | 0.1 | 15.6 | 8.9 | 19.6 | 8.3 | 29.4 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | N/A | N/A | 3.3 | N/A | N/A | N/A | N/A | 4.0
BiDiMedia | N/A | 2023-04-13 | 2023-04-14 | N | 872 | N/A | 0.1 | 15.5 | 9.5 | 20.0 | 6.6 | 28.5 | N/A | N/A | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.5 | 1.1 | 1.8 | N/A | 1.3 | 0.8
EMG | Rai 3 | 2023-04-13 | 2023-04-13 | N | 1413 | N/A | 0.1 | 17.0 | 9.3 | 19.5 | 7.4 | 27.0 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7 | N/A | N/A | 2.9 | 1.2 | 1.4 | N/A | N/A | 2.7
Quorum – YouTrend | Sky TG24 | 2023-04-12 | 2023-04-13 | N | 802 | N/A | 0.1 | 16.6 | 8.1 | 20.3 | 6.8 | 28.9 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9 | N/A | N/A | 3.0 | 0.9 | N/A | N/A | N/A | 3.9
Termometro Politico | N/A | 2023-04-11 | 2023-04-13 | N | 4200 | N/A | 0.1 | 16.4 | 8.9 | 18.4 | 7.7 | 29.6 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2 | N/A | N/A | 2.3 | N/A | 1.3 | N/A | 1.5 | 1.9
Lab2101 | Affari Italiani | 2023-04-07 | 2023-04-13 | N | 1000 | N/A | 0.1 | 15.8 | 9.7 | 19.4 | 6.8 | 29.1 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6 | N/A | N/A | 3.4 | 0.6 | N/A | N/A | N/A | 2.5
Euromedia | La Stampa | 2023-04-12 | 2023-04-12 | N | 1000 | N/A | 0.1 | 15.2 | 9.3 | 20.1 | 7.0 | 29.6 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.1 | 0.5 | N/A | N/A | N/A | 4.0
Index Research | La7 | 2023-04-12 | 2023-04-12 | N | 800 | N/A | 0.1 | 15.6 | 8.9 | 20.3 | 6.5 | 29.5 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9 | N/A | N/A | 3.3 | N/A | N/A | N/A | N/A | 3.6
SWG | La7 | 2023-04-05 | 2023-04-10 | N | 1200 | N/A | 0.1 | 15.1 | 8.8 | 20.7 | 6.5 | 29.3 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9 | N/A | N/A | 3.2 | N/A | 1.9 | N/A | N/A | 2.5
Piepoli | N/A | 2023-04-07 | 2023-04-07 | N | N/A | N/A | 0.5 | 16.0 | 8.5 | 17.5 | 7.0 | 29.5 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0 | N/A | N/A | 3.0 | 1.5 | N/A | N/A | N/A | 5.0
Tecnè | Agenzia Dire | 2023-04-05 | 2023-04-07 | N | 1000 | N/A | 0.1 | 15.4 | 8.7 | 19.8 | 8.1 | 29.7 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | 4.1
EMG | Rai 3 | 2023-04-06 | 2023-04-06 | N | 1402 | N/A | 0.1 | 16.8 | 9.6 | 19.3 | 8.0 | 26.6 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6 | N/A | N/A | 2.7 | 1.2 | 1.4 | N/A | N/A | 3.0
Termometro Politico | N/A | 2023-04-04 | 2023-04-06 | N | 4100 | N/A | 0.1 | 16.7 | 8.9 | 18.4 | 7.5 | 29.4 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.1 | N/A | 1.5 | N/A | 1.4 | 1.7
Lab2101 | Affari Italiani | 2023-04-01 | 2023-04-06 | N | 1000 | N/A | 0.1 | 15.6 | 9.8 | 18.7 | 6.5 | 29.3 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | 3.7 | 0.6 | N/A | N/A | N/A | 2.8
Index Research | La7 | 2023-04-05 | 2023-04-05 | N | 800 | N/A | 0.1 | 15.4 | 8.7 | 20.2 | 6.2 | 29.8 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 4.0
SWG | La7 | 2023-04-03 | 2023-04-03 | N | 1200 | N/A | 0.1 | 15.1 | 8.4 | 20.4 | 6.2 | 29.7 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.3 | N/A | 1.9 | N/A | N/A | 2.8
Tecnè | Agenzia Dire | 2023-03-30 | 2023-03-31 | N | 1000 | N/A | 0.1 | 15.5 | 8.6 | 20.0 | 7.4 | 29.7 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 4.3
EMG | Rai 3 | 2023-03-30 | 2023-03-30 | N | 1333 | N/A | 0.1 | 16.5 | 9.5 | 19.3 | 8.2 | 26.8 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6 | N/A | N/A | 2.7 | 1.2 | 1.4 | N/A | N/A | 2.9
Quorum – YouTrend | Sky TG24 | 2023-03-29 | 2023-03-30 | N | 805 | N/A | 0.1 | 16.4 | 9.0 | 20.6 | 6.2 | 28.8 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2 | N/A | N/A | 2.7 | 1.2 | N/A | N/A | N/A | 3.6
Termometro Politico | N/A | 2023-03-28 | 2023-03-30 | N | 4200 | N/A | 0.1 | 16.5 | 9.0 | 18.5 | 7.4 | 29.6 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6 | N/A | N/A | 2.0 | N/A | 1.3 | N/A | 1.5 | 1.8
Ixè | N/A | 2023-03-27 | 2023-03-30 | N | 1000 | N/A | 0.1 | 15.5 | 8.1 | 21.1 | 6.8 | 28.9 | N/A | N/A | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6 | N/A | N/A | 3.9 | 1.0 | N/A | N/A | N/A | 4.5
Lab2101 | Affari Italiani | 2023-03-24 | 2023-03-30 | N | 1000 | N/A | 0.1 | 15.2 | 9.6 | 18.7 | 6.9 | 29.7 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3 | N/A | N/A | 3.7 | 0.6 | N/A | N/A | N/A | 2.1
Euromedia | N/A | 2023-03-29 | 2023-03-29 | N | 1000 | N/A | 0.1 | 15.0 | 9.0 | 20.5 | 7.0 | 28.7 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.8 | 0.5 | N/A | N/A | N/A | 3.4
Index Research | La7 | 2023-03-29 | 2023-03-29 | N | 800 | N/A | 0.1 | 15.6 | 8.6 | 20.1 | 6.4 | 29.7 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | 4.0
Tecné | Agenzia Dire | 2023-03-26 | 2023-03-27 | N | 1000 | N/A | 0.5 | 15.5 | 9.0 | 20.0 | 7.5 | 30.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.0
SWG | La7 | 2023-03-22 | 2023-03-27 | N | 1200 | N/A | 0.1 | 15.6 | 8.0 | 20.4 | 6.4 | 29.6 | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.4 | N/A | 1.7 | N/A | N/A | 2.4
Piepoli | N/A | 2023-03-24 | 2023-03-24 | N | N/A | N/A | 0.5 | 16.5 | 9.0 | 17.5 | 7.0 | 30.0 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0 | N/A | N/A | 3.0 | 1.5 | N/A | N/A | N/A | 3.5
Tecnè | Agenzia Dire | 2023-03-23 | 2023-03-24 | N | 1000 | N/A | 0.1 | 15.6 | 8.8 | 19.8 | 7.2 | 30.0 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | 4.2
EMG | Rai 3 | 2023-03-23 | 2023-03-23 | N | 1472 | N/A | 0.1 | 16.6 | 9.3 | 18.9 | 8.5 | 27.0 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6 | N/A | N/A | 2.7 | 1.3 | 1.4 | N/A | N/A | 2.4
Noto Sondaggi | Rai 1 | 2023-03-23 | 2023-03-23 | N | N/A | N/A | 0.5 | 14.5 | 8.5 | 21.0 | 7.5 | 29.0 | N/A | N/A | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0 | 1.5 | N/A | N/A | N/A | 5.5
Termometro Politico | N/A | 2023-03-22 | 2023-03-23 | N | 4200 | N/A | 0.1 | 16.3 | 9.0 | 18.0 | 7.7 | 29.4 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.2 | N/A | 1.4 | N/A | 1.5 | 1.9
Quorum – YouTrend | Sky TG24 | 2023-03-21 | 2023-03-23 | N | 805 | N/A | 0.1 | 15.8 | 8.8 | 20.1 | 5.9 | 28.9 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.8 | 1.3 | N/A | N/A | N/A | 4.1
Lab2101 | Affari Italiani | 2023-03-18 | 2023-03-23 | N | 1000 | N/A | 0.1 | 15.4 | 9.5 | 18.4 | 6.7 | 30.1 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.1 | N/A | N/A | 3.6 | 0.7 | N/A | N/A | N/A | 2.2
Demopolis | La7 | 2023-03-21 | 2023-03-22 | N | 2000 | N/A | 0.1 | 15.0 | 8.5 | 20.2 | 6.6 | 30.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 9.4
Ixè | N/A | 2023-03-16 | 2023-03-20 | N | 1000 | N/A | 0.1 | 16.2 | 8.0 | 20.1 | 6.2 | 28.6 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0 | N/A | N/A | 4.6 | N/A | N/A | N/A | N/A | 4.4
SWG | La7 | 2023-03-15 | 2023-03-20 | N | 1200 | N/A | 0.1 | 15.3 | 8.5 | 20.4 | 6.3 | 30.3 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | N/A | N/A | 3.2 | N/A | 1.8 | N/A | N/A | 2.3
Tecnè | Agenzia Dire | 2023-03-16 | 2023-03-17 | N | 1000 | N/A | 0.1 | 15.8 | 8.8 | 19.6 | 7.2 | 30.1 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.7 | N/A | N/A | 3.0 | N/A | N/A | N/A | N/A | 4.1
Lab2101 | Affari Italiani | 2023-03-11 | 2023-03-17 | N | 1000 | N/A | 0.1 | 15.6 | 9.4 | 18.0 | 6.9 | 30.3 | N/A | N/A | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.7 | 0.6 | N/A | N/A | N/A | 2.7
EMG | Rai 3 | 2023-03-16 | 2023-03-16 | N | 1365 | N/A | 0.1 | 16.5 | 9.5 | 18.4 | 8.5 | 27.1 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7 | N/A | N/A | 2.9 | 1.4 | 1.4 | N/A | N/A | 2.2
Termometro Politico | N/A | 2023-03-14 | 2023-03-16 | N | 4200 | N/A | 0.1 | 16.4 | 9.2 | 18.0 | 7.5 | 29.5 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2 | N/A | N/A | 2.0 | N/A | 1.5 | N/A | 1.6 | 2.1
Ipsos | Corriere della Sera | 2023-03-14 | 2023-03-16 | N | 1000 | N/A | 0.1 | 16.8 | 8.0 | 19.0 | 7.2 | 30.3 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2 | N/A | N/A | 3.5 | 1.0 | 1.9 | N/A | 1.0 | 0.9
Quorum – YouTrend | Sky TG24 | 2023-03-14 | 2023-03-16 | N | 805 | N/A | 0.1 | 15.8 | 8.5 | 19.3 | 5.8 | 29.0 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.9 | 1.5 | N/A | N/A | N/A | 5.2
Index Research | La7 | 2023-03-15 | 2023-03-15 | N | 800 | N/A | 0.1 | 15.8 | 9.0 | 19.5 | 6.2 | 29.8 | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9 | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | 3.9
Piepoli | N/A | 2023-03-14 | 2023-03-14 | N | N/A | N/A | 0.5 | 16.5 | 9.5 | 16.5 | 7.5 | 30.5 | N/A | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5 | N/A | N/A | 2.5 | 1.5 | N/A | N/A | N/A | 3.5
Euromedia | Rai 1 | 2023-03-13 | 2023-03-13 | N | 800 | N/A | 0.1 | 15.0 | 9.4 | 20.3 | 6.5 | 29.2 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4 | N/A | N/A | 2.6 | 0.5 | N/A | N/A | N/A | 3.5
SWG | La7 | 2023-03-08 | 2023-03-13 | N | 1200 | N/A | 0.1 | 16.1 | 8.8 | 19.8 | 6.4 | 30.3 | N/A | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.6 | N/A | N/A | 3.2 | N/A | 1.7 | N/A | N/A | 2.4
BiDiMedia | N/A | 2023-03-10 | 2023-03-11 | N | 1034 | N/A | 0.1 | 16.0 | 9.2 | 18.7 | 7.1 | 28.1 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.8 | N/A | N/A | 2.9 | 0.9 | 1.3 | N/A | 1.0 | 2.0
