Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | M5S | Lega | PD | FI | FdI | LS | PaP | +Eu | NcI | CPI | C! | EV | Az | IV | SI | Art.1 | CI | Italexit | IpF | IC | AVS | NM | UP | ISP | DSP | Other
Tecnè | Agenzia Dire | 2023-11-23 | 2023-11-24 | N | 1001 | N/A | 0.1 | 16.4 | 8.6 | 19.4 | 10.0 | 28.6 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 3.9 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 4.4
Index Research | Giornale Radio | 2023-11-23 | 2023-11-23 | N | 800 | N/A | 0.1 | 16.6 | 9.3 | 19.4 | 6.5 | 29.7 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 4.0 | 3.0 | N/A | N/A | N/A | 1.7 | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A | 3.5
Termometro Politico | N/A | 2023-11-22 | 2023-11-23 | N | 3600 | N/A | 0.1 | 16.0 | 9.7 | 19.6 | 6.4 | 29.5 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 3.7 | 2.5 | N/A | N/A | N/A | 2.0 | N/A | N/A | 3.1 | N/A | 1.5 | N/A | 1.5 | 2.0
Quorum – YouTrend | Sky TG24 | 2023-11-22 | 2023-11-23 | N | 801 | N/A | 0.1 | 13.6 | 9.6 | 19.0 | 6.1 | 30.1 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 3.9 | 2.4 | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.4 | 1.9 | N/A | N/A | N/A | 5.9
BiDiMedia | N/A | 2023-11-20 | 2023-11-23 | N | 1100 | N/A | 0.1 | 15.6 | 9.5 | 19.6 | 6.4 | 28.3 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.1 | 2.9 | N/A | N/A | N/A | 1.9 | N/A | N/A | 3.3 | 0.7 | 1.4 | N/A | 1.1 | 2.6
Lab2101 | Affari Italiani | 2023-11-16 | 2023-11-23 | N | 1000 | N/A | 0.1 | 16.3 | 10.7 | 19.8 | 5.7 | 29.2 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 3.7 | 3.1 | N/A | N/A | N/A | 2.4 | N/A | N/A | 4.3 | 0.6 | N/A | N/A | N/A | 1.7
Eumetra | La7 | 2023-11-21 | 2023-11-22 | N | 800 | N/A | 0.1 | 16.6 | 9.3 | 19.2 | 7.3 | 28.7 | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A | 3.9 | 2.9 | N/A | N/A | N/A | 2.1 | N/A | N/A | 3.4 | 0.9 | N/A | N/A | N/A | 3.1
SWG | La7 | 2023-11-15 | 2023-11-20 | N | 1200 | N/A | 0.1 | 16.6 | 9.6 | 19.4 | 6.9 | 29.0 | N/A | N/A | 2.8 | N/A | N/A | N/A | N/A | 3.7 | 3.1 | N/A | N/A | N/A | 1.7 | N/A | N/A | 3.5 | 1.0 | 1.2 | N/A | N/A | 1.5
Tecnè | Agenzia Dire | 2023-11-16 | 2023-11-17 | N | 1001 | N/A | 0.1 | 16.1 | 8.5 | 19.8 | 9.9 | 28.5 | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | 4.0 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | 4.6
Euromedia | La Stampa | 2023-11-16 | 2023-11-16 | N | 800 | N/A | 0.1 | 16.8 | 8.8 | 18.9 | 7.8 | 28.5 | N/A | N/A | 2.5 | N/A | N/A | N/A | N/A | 4.4 | 3.0 | N/A | N/A | N/A | 2.6 | N/A | N/A | 3.4 | 0.6 | N/A | N/A | N/A | 2.7
Index Research | Giornale Radio | 2023-11-16 | 2023-11-16 | N | 800 | N/A | 0.1 | 16.3 | 9.5 | 19.8 | 6.1 | 29.8 | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | 4.1 | 2.7 | N/A | N/A | N/A | 1.8 | N/A | N/A | 3.9 | N/A | N/A | N/A | N/A | 3.4
Termometro Politico | N/A | 2023-11-14 | 2023-11-16 | N | 3900 | N/A | 0.1 | 16.2 | 9.6 | 19.5 | 6.6 | 29.2 | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | 3.7 | 2.6 | N/A | N/A | N/A | 2.2 | N/A | N/A | 3.0 | N/A | 1.6 | N/A | 1.5 | 2.0
