Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SMER–SSD | SaS | OĽaNO | SR | SNS | ĽSNS | KDH | M-H | AS | PS | D | ZĽ | DV | V | HLAS–SD | REP | MF | MODRÍ | KÚ | Other
AKO | N/A | 2018-08-15 | 2018-08-17 | N | 1000 | N/A | 0.1 | 21.4 | 15.7 | 8.4 | 10.8 | 11.0 | 10.9 | 6.1 | 5.3 | 3.0 | 4.1 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
FOCUS | N/A | 2018-08-02 | 2018-08-09 | N | 1007 | N/A | 0.1 | 20.7 | 12.2 | 8.7 | 10.0 | 9.4 | 10.1 | 7.1 | 5.7 | 4.1 | 4.2 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
AKO | N/A | 2018-06-18 | 2018-06-21 | N | 1000 | N/A | 0.1 | 21.0 | 15.5 | 8.6 | 9.3 | 10.2 | 11.1 | 7.2 | 6.3 | 2.4 | 4.0 | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
FOCUS | N/A | 2018-06-04 | 2018-06-11 | N | 1015 | N/A | 0.1 | 21.7 | 12.4 | 10.0 | 8.1 | 9.8 | 9.7 | 6.7 | 5.6 | 4.0 | 3.9 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
AKO | N/A | 2018-05-16 | 2018-05-21 | N | 1000 | N/A | 0.1 | 21.5 | 16.7 | 9.1 | 9.1 | 10.1 | 10.4 | 6.7 | 5.6 | 2.5 | 3.9 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
FOCUS | N/A | 2018-04-24 | 2018-04-30 | N | 1005 | N/A | 0.1 | 20.5 | 13.2 | 9.1 | 9.1 | 10.1 | 9.3 | 6.8 | 5.8 | 3.3 | 3.6 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
AKO | N/A | 2018-04-20 | 2018-04-24 | N | 1000 | N/A | 0.1 | 21.4 | 16.1 | 8.7 | 9.0 | 10.9 | 10.3 | 6.9 | 6.8 | 1.9 | 3.8 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
AKO | N/A | 2018-04-04 | 2018-04-07 | N | 1000 | N/A | 0.1 | 20.7 | 17.1 | 9.1 | 8.6 | 10.7 | 10.0 | 8.6 | 5.6 | 2.7 | 3.2 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
FOCUS | N/A | 2018-03-07 | 2018-03-13 | N | 1012 | N/A | 0.1 | 20.2 | 14.0 | 10.4 | 10.4 | 10.0 | 10.1 | 7.0 | 5.6 | 4.1 | 1.4 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
AKO | N/A | 2018-02-21 | 2018-02-26 | N | 1000 | N/A | 0.1 | 24.7 | 16.2 | 10.2 | 9.6 | 9.9 | 8.2 | 7.7 | 6.3 | 3.4 | 1.6 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
FOCUS | N/A | 2018-01-23 | 2018-01-28 | N | 1012 | N/A | 0.1 | 25.5 | 13.1 | 11.4 | 9.0 | 8.6 | 8.1 | 7.4 | 5.7 | 3.9 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
