Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PP | PSOE | Cs | UP | ERC | Junts | EAJ-PNV | PACMA | EH Bildu | AUN | BNG | Vox | AR | CEUS | PE | Compromís | Sumar | Podemos | CUP | UPN | PRC | EV | Other
SocioMétrica | El Español | 2022-11-28 | 2022-12-02 | N | 1200 | N/A | 0.1 | 30.1 | 26.3 | 2.0 | 11.1 | 2.9 | 1.8 | 1.4 | N/A | 1.2 | 0.4 | 0.5 | 15.3 | N/A | N/A | N/A | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2022-11-28 | 2022-12-02 | N | N/A | N/A | 0.1 | 30.1 | 26.9 | 0.8 | 9.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.5 | N/A | N/A | N/A | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
IMOP | El Confidencial | 2022-11-21 | 2022-12-02 | N | 1297 | N/A | 0.1 | 30.5 | 25.7 | 1.3 | 11.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16.0 | N/A | N/A | N/A | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2022-11-29 | 2022-12-01 | N | 1000 | N/A | 0.1 | 30.9 | 24.3 | 1.9 | 11.0 | 3.0 | 2.1 | 1.5 | N/A | 1.4 | 0.5 | 0.8 | 16.5 | N/A | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2022-11-25 | 2022-11-30 | N | 1495 | N/A | 0.1 | 29.1 | 25.9 | 2.5 | 9.9 | 3.3 | 2.4 | 1.5 | N/A | N/A | N/A | N/A | 14.9 | N/A | N/A | N/A | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2022-11-23 | 2022-11-26 | N | 2000 | N/A | 0.1 | 28.1 | 27.8 | 2.2 | 11.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.1 | N/A | N/A | N/A | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
GESOP | Prensa Ibérica | 2022-11-21 | 2022-11-24 | N | 1001 | N/A | 0.1 | 28.6 | 26.2 | 2.2 | 12.2 | 2.8 | 1.5 | N/A | N/A | N/A | N/A | N/A | 13.2 | N/A | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | Antena 3 | 2022-11-17 | 2022-11-23 | N | N/A | N/A | 0.1 | 29.9 | 25.5 | 2.1 | 10.3 | 3.4 | 2.3 | 1.5 | N/A | N/A | N/A | N/A | 14.8 | N/A | N/A | N/A | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2022-09-01 | 2022-11-23 | N | 8191 | 65.0 | 0.1 | 34.0 | 26.6 | 1.6 | 8.9 | 3.1 | 2.0 | 1.3 | N/A | 1.0 | 0.3 | 0.6 | 14.2 | N/A | N/A | N/A | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
DYM | Henneo | 2022-11-16 | 2022-11-22 | N | 1003 | N/A | 0.1 | 29.7 | 26.8 | 2.4 | 10.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 16.8 | N/A | N/A | N/A | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A
