Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | PP | PSOE | Cs | UP | ERC | Junts | EAJ-PNV | PACMA | EH Bildu | AUN | BNG | Vox | AR | CEUS | PE | Compromís | Sumar | Podemos | CUP | UPN | PRC | EV | Other
CIS | N/A | 2023-10-31 | 2023-11-06 | N | 4090 | N/A | 0.1 | 33.9 | 31.3 | N/A | N/A | 1.9 | 1.4 | 0.9 | N/A | 1.3 | 0.4 | 0.7 | 10.0 | N/A | N/A | N/A | N/A | 11.8 | N/A | N/A | 0.1 | N/A | N/A | N/A
NC Report | La Razón | 2023-10-31 | 2023-11-04 | N | 1000 | 65.0 | 0.1 | 35.8 | 31.0 | N/A | N/A | 1.8 | 1.8 | 1.0 | N/A | 1.4 | N/A | 0.6 | 11.2 | N/A | N/A | N/A | N/A | 11.0 | N/A | N/A | 0.2 | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-10-30 | 2023-11-03 | N | 1788 | N/A | 0.1 | 36.7 | 31.2 | N/A | N/A | 1.9 | 1.5 | 1.1 | N/A | 1.2 | 0.5 | 0.6 | 10.9 | N/A | N/A | N/A | N/A | 11.2 | N/A | N/A | 0.2 | N/A | N/A | N/A
GAD3 | ABC | 2023-10-30 | 2023-11-03 | N | 1001 | N/A | 0.1 | 35.5 | 29.7 | N/A | N/A | 1.8 | 2.0 | 1.1 | N/A | 1.4 | N/A | 0.7 | 11.6 | N/A | N/A | N/A | N/A | 12.0 | N/A | N/A | N/A | N/A | N/A | N/A
Invymark | laSexta | 2023-10-30 | 2023-11-03 | N | N/A | N/A | 0.1 | 37.2 | 31.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.5 | N/A | N/A | N/A | N/A | 9.9 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-10-27 | 2023-10-30 | N | 2000 | N/A | 0.1 | 34.7 | 31.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.2 | N/A | N/A | N/A | N/A | 11.7 | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2023-10-25 | 2023-10-27 | N | 2600 | N/A | 0.1 | 37.8 | 30.2 | N/A | N/A | 1.1 | 2.1 | 1.0 | N/A | 1.6 | 0.3 | 0.6 | 11.0 | N/A | N/A | N/A | N/A | 11.0 | N/A | N/A | 0.3 | N/A | N/A | N/A
Hamalgama Métrica | VozPópuli | 2023-10-20 | 2023-10-26 | N | 1000 | N/A | 0.1 | 35.6 | 31.3 | N/A | N/A | 1.7 | 1.7 | 1.1 | N/A | 1.3 | 0.4 | 0.7 | 12.1 | N/A | N/A | N/A | N/A | 11.2 | N/A | N/A | 0.2 | N/A | N/A | N/A
DYM | Henneo | 2023-10-18 | 2023-10-22 | N | 1035 | N/A | 0.1 | 34.9 | 32.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.4 | N/A | N/A | N/A | N/A | 10.3 | N/A | N/A | N/A | N/A | N/A | N/A
Invymark | laSexta | 2023-10-16 | 2023-10-20 | N | N/A | N/A | 0.1 | 34.7 | 32.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.1 | N/A | N/A | N/A | N/A | 10.2 | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-10-02 | 2023-10-10 | N | 1010 | 69.4 | 0.1 | 34.1 | 32.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.7 | N/A | N/A | N/A | N/A | 12.0 | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2023-10-02 | 2023-10-06 | N | 4031 | N/A | 0.1 | 32.2 | 32.6 | N/A | N/A | 1.9 | 1.3 | 0.8 | N/A | 0.9 | 0.1 | 0.8 | 10.1 | N/A | N/A | N/A | N/A | 12.7 | N/A | N/A | 0.1 | N/A | N/A | N/A
Target Point | El Debate | 2023-10-02 | 2023-10-04 | N | 1003 | N/A | 0.1 | 34.5 | 30.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.9 | N/A | N/A | N/A | N/A | 11.8 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-09-29 | 2023-10-02 | N | 2000 | N/A | 0.1 | 34.2 | 32.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.7 | N/A | N/A | N/A | N/A | 11.1 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-09-25 | 2023-09-28 | N | 2120 | N/A | 0.1 | 36.1 | 30.8 | N/A | N/A | 1.8 | 1.6 | 1.0 | N/A | 1.2 | 0.5 | 0.6 | 11.3 | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | 0.2 | N/A | N/A | N/A
SocioMétrica | El Español | 2023-09-21 | 2023-09-23 | N | 1429 | N/A | 0.1 | 37.0 | 30.9 | N/A | N/A | 1.4 | 1.9 | 0.9 | N/A | 1.5 | 0.4 | 0.6 | 11.6 | N/A | N/A | N/A | N/A | 10.8 | N/A | N/A | 0.3 | N/A | N/A | N/A
Hamalgama Métrica | VozPópuli | 2023-09-15 | 2023-09-21 | N | 1000 | N/A | 0.1 | 35.4 | 30.9 | N/A | N/A | 1.6 | 1.7 | 1.0 | N/A | 1.4 | 0.4 | 0.7 | 11.9 | N/A | N/A | N/A | N/A | 11.5 | N/A | N/A | 0.2 | N/A | N/A | N/A
DYM | Henneo | 2023-09-14 | 2023-09-17 | N | 1003 | N/A | 0.1 | 34.1 | 32.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.1 | N/A | N/A | N/A | N/A | 10.9 | N/A | N/A | N/A | N/A | N/A | N/A
CIS | N/A | 2023-09-01 | 2023-09-12 | N | 10104 | N/A | 0.1 | 31.7 | 33.5 | N/A | N/A | 1.7 | 1.7 | 0.9 | N/A | 1.3 | 0.3 | 0.7 | 11.1 | N/A | N/A | N/A | N/A | 11.9 | N/A | N/A | 0.2 | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-09-01 | 2023-09-07 | N | 1032 | N/A | 0.1 | 33.6 | 31.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.7 | N/A | N/A | N/A | N/A | 12.3 | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2023-08-28 | 2023-09-01 | N | 1000 | N/A | 0.1 | 35.5 | 31.0 | N/A | N/A | 1.7 | 1.7 | 1.1 | N/A | 1.4 | N/A | N/A | 11.4 | N/A | N/A | N/A | N/A | 11.2 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-08-25 | 2023-08-28 | N | 2000 | N/A | 0.1 | 33.8 | 32.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.9 | N/A | N/A | N/A | N/A | 12.0 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-08-17 | 2023-08-24 | N | 1933 | N/A | 0.1 | 34.2 | 31.7 | N/A | N/A | 1.8 | 1.5 | 1.0 | N/A | 1.3 | 0.5 | 0.7 | 12.7 | N/A | N/A | N/A | N/A | 12.4 | N/A | N/A | 0.2 | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-07-31 | 2023-08-07 | N | 1098 | N/A | 0.1 | 31.9 | 31.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.9 | N/A | N/A | N/A | N/A | 12.7 | N/A | N/A | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-07-17 | 2023-07-17 | N | 1500 | N/A | 0.1 | 36.0 | 27.5 | N/A | N/A | 2.1 | 2.0 | N/A | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | N/A | N/A | N/A | N/A
GESOP | The Adelaide Review | 2023-07-15 | 2023-07-17 | N | 1200 | N/A | 0.1 | 30.3 | 28.0 | N/A | N/A | 2.3 | 1.8 | N/A | N/A | N/A | N/A | N/A | 14.6 | N/A | N/A | N/A | N/A | 14.4 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-07-10 | 2023-07-17 | N | 8183 | 71.3 | 0.1 | 35.4 | 28.0 | N/A | N/A | 2.6 | 2.4 | 1.1 | N/A | 1.0 | N/A | N/A | 11.2 | N/A | N/A | N/A | N/A | 13.6 | N/A | N/A | N/A | N/A | N/A | N/A
YouGov | N/A | 2023-07-06 | 2023-07-17 | N | 10807 | N/A | 1 | 32.0 | 28.0 | N/A | N/A | 2.0 | 2.0 | 1.0 | N/A | 1.0 | N/A | 1.0 | 14.0 | N/A | N/A | N/A | N/A | 14.0 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-17 | N | 8001 | 71 | 0.1 | 36.9 | 28.6 | N/A | N/A | 2.3 | 2.0 | 1.3 | N/A | 1.3 | 0.4 | 0.6 | 11.7 | N/A | N/A | N/A | N/A | 11.5 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
NC Report | La Razón | 2023-07-15 | 2023-07-16 | N | 1000 | 66.7 | 0.1 | 37.2 | 28.3 | N/A | N/A | 2.4 | 2.1 | 1.5 | N/A | 1.4 | N/A | N/A | 11.1 | N/A | N/A | N/A | N/A | 11.3 | N/A | 0.7 | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-07-14 | 2023-07-16 | N | 1500 | N/A | 0.1 | 35.6 | 26.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.1 | N/A | N/A | N/A | N/A | 12.7 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-07-12 | 2023-07-16 | N | 2000 | N/A | 0.1 | 32.9 | 28.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.5 | N/A | N/A | N/A | N/A | 13.7 | N/A | N/A | N/A | N/A | N/A | N/A
Sondaxe | La Voz de Galicia | 2023-07-12 | 2023-07-16 | N | 1000 | N/A | 0.1 | 34.3 | 28.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | N/A | N/A | 14.0 | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-07-11 | 2023-07-16 | N | 1600 | N/A | 0.1 | 32.2 | 28.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.9 | N/A | N/A | N/A | N/A | 13.8 | N/A | N/A | N/A | N/A | N/A | N/A
SocioMétrica | El Español | 2023-07-11 | 2023-07-16 | N | 1500 | N/A | 0.1 | 33.5 | 28.3 | N/A | N/A | 2.3 | 1.8 | 1.4 | N/A | 1.3 | 0.4 | 0.8 | 13.7 | N/A | N/A | N/A | N/A | 13.2 | N/A | 0.6 | N/A | N/A | N/A | N/A
Target Point | El Debate | 2023-07-08 | 2023-07-16 | N | N/A | N/A | 0.1 | 36.4 | 28.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.4 | N/A | N/A | N/A | N/A | 12.1 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-16 | N | 7002 | 71 | 0.1 | 37.0 | 28.4 | N/A | N/A | 2.3 | 2.0 | 1.3 | N/A | 1.3 | 0.4 | 0.5 | 11.9 | N/A | N/A | N/A | N/A | 11.5 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
NC Report | La Razón | 2023-07-14 | 2023-07-15 | N | 1000 | N/A | 0.1 | 37.1 | 28.3 | N/A | N/A | 2.4 | 2.1 | 1.5 | N/A | 1.5 | N/A | N/A | 11.3 | N/A | N/A | N/A | N/A | 11.1 | N/A | 0.7 | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-07-13 | 2023-07-15 | N | 1500 | N/A | 0.1 | 35.7 | 27.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.9 | N/A | N/A | N/A | N/A | 12.7 | N/A | N/A | N/A | N/A | N/A | N/A
GESOP | Prensa Ibérica | 2023-07-13 | 2023-07-15 | N | 1200 | N/A | 0.1 | 30.6 | 27.4 | N/A | N/A | 2.1 | 1.7 | N/A | N/A | N/A | N/A | N/A | 15.0 | N/A | N/A | N/A | N/A | 14.4 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-07-11 | 2023-07-15 | N | 2000 | N/A | 0.1 | 32.6 | 28.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.2 | N/A | N/A | N/A | N/A | 13.9 | N/A | N/A | N/A | N/A | N/A | N/A
Sondaxe | La Voz de Galicia | 2023-07-11 | 2023-07-15 | N | 1000 | 69.9 | 0.1 | 34.3 | 28.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.6 | N/A | N/A | N/A | N/A | 14.2 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-07-09 | 2023-07-15 | N | 5622 | 70.9 | 0.1 | 35.0 | 28.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.8 | N/A | N/A | N/A | N/A | 13.2 | N/A | N/A | N/A | N/A | N/A | N/A
Target Point | El Debate | 2023-07-07 | 2023-07-15 | N | N/A | N/A | 0.1 | 36.3 | 28.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.3 | N/A | N/A | N/A | N/A | 11.8 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-15 | N | 6501 | 71 | 0.1 | 37.2 | 28.5 | N/A | N/A | 2.3 | 2.0 | 1.2 | N/A | 1.3 | 0.4 | 0.5 | 11.7 | N/A | N/A | N/A | N/A | 11.4 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
NC Report | La Razón | 2023-07-13 | 2023-07-14 | N | 1000 | 62.9 | 0.1 | 36.8 | 28.0 | N/A | N/A | 2.4 | 2.1 | 1.5 | N/A | 1.5 | N/A | N/A | 11.7 | N/A | N/A | N/A | N/A | 11.4 | N/A | 0.7 | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-07-12 | 2023-07-14 | N | 1500 | N/A | 0.1 | 35.6 | 26.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.1 | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | N/A | N/A
Cluster17 | El Grand Continent | 2023-07-12 | 2023-07-14 | N | N/A | N/A | 0.1 | 33.6 | 28.9 | N/A | N/A | 2.3 | 2.3 | 1.1 | N/A | 1.3 | 0.3 | 0.8 | 13.7 | N/A | N/A | N/A | N/A | 13.5 | N/A | 0.7 | 0.3 | N/A | 0.5 | N/A
IMOP | El Confidencial | 2023-07-11 | 2023-07-14 | N | 1842 | N/A | 0.1 | 32.9 | 28.2 | N/A | N/A | 2.2 | 2.0 | 1.4 | N/A | 1.2 | 0.3 | 0.9 | 14.5 | N/A | N/A | N/A | N/A | 12.8 | N/A | 0.8 | 0.2 | N/A | 0.1 | N/A
40dB | Prisa | 2023-07-10 | 2023-07-14 | N | 2000 | N/A | 0.1 | 32.0 | 28.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.6 | N/A | N/A | N/A | N/A | 13.8 | N/A | N/A | N/A | N/A | N/A | N/A
Sondaxe | La Voz de Galicia | 2023-07-10 | 2023-07-14 | N | 1000 | N/A | 0.1 | 34.1 | 28.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.3 | N/A | N/A | N/A | N/A | 14.8 | N/A | N/A | N/A | N/A | N/A | N/A
InvyMark | laSexta | 2023-07-10 | 2023-07-14 | N | N/A | N/A | 0.1 | 33.5 | 26.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.8 | N/A | N/A | N/A | N/A | 13.7 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-07-08 | 2023-07-14 | N | 4715 | 71 | 0.1 | 34.6 | 27.9 | N/A | N/A | 2.6 | 2.4 | 1.1 | N/A | 1.0 | N/A | N/A | 12.4 | N/A | N/A | N/A | N/A | 13.1 | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-07-06 | 2023-07-14 | N | 1300 | N/A | 0.1 | 32.2 | 28.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.4 | N/A | N/A | N/A | N/A | 13.7 | N/A | N/A | N/A | N/A | N/A | N/A
Target Point | El Debate | 2023-07-06 | 2023-07-14 | N | N/A | N/A | 0.1 | 36.0 | 28.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.7 | N/A | N/A | N/A | N/A | 11.8 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-14 | N | 6501 | 71 | 0.1 | 37.2 | 28.5 | N/A | N/A | 2.3 | 2.0 | 1.2 | N/A | 1.3 | 0.4 | 0.5 | 11.7 | N/A | N/A | N/A | N/A | 11.4 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
NC Report | La Razón | 2023-07-12 | 2023-07-13 | N | 1000 | 64 | 0.1 | 36.6 | 27.8 | N/A | N/A | 2.5 | 2.1 | 1.5 | N/A | 1.5 | N/A | N/A | 11.9 | N/A | N/A | N/A | N/A | 11.5 | N/A | 0.6 | N/A | N/A | N/A | N/A
Data10 | OKDiario | 2023-07-11 | 2023-07-13 | N | 1500 | N/A | 0.1 | 35.5 | 26.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.5 | N/A | N/A | N/A | N/A | 12.7 | N/A | N/A | N/A | N/A | N/A | N/A
Hamalgama Métrica | VozPópuli | 2023-07-10 | 2023-07-13 | N | 1000 | N/A | 0.1 | 36.3 | 27.5 | N/A | N/A | 2.2 | 2.0 | 1.4 | N/A | 1.5 | 0.3 | 0.7 | 13.8 | N/A | N/A | N/A | N/A | 12.1 | N/A | 0.7 | 0.2 | N/A | 0.1 | N/A
40dB | Prisa | 2023-07-09 | 2023-07-13 | N | 2000 | N/A | 0.1 | 32.6 | 29.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.4 | N/A | N/A | N/A | N/A | 12.6 | N/A | N/A | N/A | N/A | N/A | N/A
Sondaxe | La Voz de Galicia | 2023-07-09 | 2023-07-13 | N | 1000 | 70.8 | 0.1 | 33.2 | 27.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | 14.3 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-07-07 | 2023-07-13 | N | 4816 | N/A | 0.1 | 34.6 | 28.0 | N/A | N/A | 2.5 | 2.4 | 1.2 | N/A | 1.0 | N/A | N/A | 12.6 | N/A | N/A | N/A | N/A | 13.0 | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-07-05 | 2023-07-13 | N | 1300 | N/A | 0.1 | 32.0 | 28.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.1 | N/A | N/A | N/A | N/A | 14.0 | N/A | N/A | N/A | N/A | N/A | N/A
Target Point | El Debate | 2023-07-05 | 2023-07-13 | N | 1132 | N/A | 0.1 | 35.9 | 27.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.4 | N/A | N/A | N/A | N/A | 12.1 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-13 | N | 6003 | 70 | 0.1 | 36.8 | 28.5 | N/A | N/A | 2.3 | 2.0 | 1.2 | N/A | 1.3 | N/A | 0.5 | 12.3 | N/A | N/A | N/A | N/A | 11.3 | N/A | 0.5 | N/A | N/A | N/A | N/A
NC Report | La Razón | 2023-07-11 | 2023-07-12 | N | 1000 | 64.2 | 0.1 | 36.3 | 27.7 | N/A | N/A | 2.6 | 2.1 | 1.5 | N/A | 1.5 | N/A | N/A | 12.0 | N/A | N/A | N/A | N/A | 11.9 | N/A | 0.6 | N/A | N/A | N/A | N/A
Celeste-Tel | Onda Cero | 2023-07-10 | 2023-07-12 | N | N/A | N/A | 0.1 | 36.5 | 28.4 | N/A | N/A | 2.3 | 2.1 | 1.4 | N/A | 1.5 | 0.4 | 0.8 | 11.4 | N/A | N/A | N/A | N/A | 11.5 | N/A | 0.9 | 0.2 | N/A | 0.1 | N/A
SocioMétrica | El Español | 2023-07-09 | 2023-07-12 | N | 800 | N/A | 0.1 | 33.8 | 28.6 | N/A | N/A | 2.2 | 1.9 | 1.3 | N/A | 1.4 | 0.4 | 0.8 | 13.9 | N/A | N/A | N/A | N/A | 12.7 | N/A | 0.6 | 0.3 | N/A | 0.4 | N/A
40dB | Prisa | 2023-07-08 | 2023-07-12 | N | 2000 | N/A | 0.1 | 31.8 | 29.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.8 | N/A | N/A | N/A | N/A | 12.6 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-07-06 | 2023-07-12 | N | 4608 | N/A | 0.1 | 34.5 | 28.1 | N/A | N/A | 2.4 | 2.4 | 1.1 | N/A | 1.0 | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | N/A | N/A
Sondaxe | La Voz de Galicia | 2023-07-06 | 2023-07-12 | N | 1000 | N/A | 0.1 | 33.4 | 28.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | 13.5 | N/A | N/A | N/A | N/A | N/A | N/A
Target Point | El Debate | 2023-07-04 | 2023-07-12 | N | 1601 | N/A | 0.1 | 35.8 | 27.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.0 | N/A | N/A | N/A | N/A | 12.5 | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-07-04 | 2023-07-12 | N | 1300 | N/A | 0.1 | 32.2 | 28.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.2 | N/A | N/A | N/A | N/A | 14.4 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-12 | N | 5502 | 69 | 0.1 | 36.7 | 28.2 | N/A | N/A | 2.3 | 2.0 | 1.2 | N/A | 1.3 | 0.4 | 0.5 | 12.4 | N/A | N/A | N/A | N/A | 11.6 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
Data10 | OKDiario | 2023-07-11 | 2023-07-11 | N | 1500 | N/A | 0.1 | 35.3 | 26.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.7 | N/A | N/A | N/A | N/A | 12.4 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-07-07 | 2023-07-11 | N | 2000 | N/A | 0.1 | 31.2 | 29.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.7 | N/A | N/A | N/A | N/A | 13.3 | N/A | N/A | N/A | N/A | N/A | N/A
NC Report | La Razón | 2023-07-07 | 2023-07-11 | N | 1000 | 64.4 | 0.1 | 36.0 | 27.8 | N/A | N/A | 2.7 | 2.1 | 1.4 | N/A | 1.3 | N/A | N/A | 12.4 | N/A | N/A | N/A | N/A | 12.2 | N/A | 0.7 | N/A | N/A | N/A | N/A
Sondaxe | La Voz de Galicia | 2023-07-07 | 2023-07-11 | N | 1000 | N/A | 0.1 | 33.7 | 28.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.6 | N/A | N/A | N/A | N/A | 13.7 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-07-05 | 2023-07-11 | N | 4455 | N/A | 0.1 | 34.4 | 28.6 | N/A | N/A | 2.1 | 2.0 | 1.1 | N/A | 1.0 | N/A | N/A | 13.0 | N/A | N/A | N/A | N/A | 12.7 | N/A | N/A | N/A | N/A | N/A | N/A
Target Point | El Debate | 2023-07-04 | 2023-07-11 | N | 1263 | N/A | 0.1 | 35.5 | 28.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.8 | N/A | N/A | N/A | N/A | 12.2 | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-07-03 | 2023-07-11 | N | 1300 | N/A | 0.1 | 31.1 | 28.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.5 | N/A | N/A | N/A | N/A | 15.0 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-11 | N | 5001 | 69 | 0.1 | 36.7 | 27.9 | N/A | N/A | 2.3 | 2.0 | 1.3 | N/A | 1.3 | 0.4 | 0.6 | 12.0 | N/A | N/A | N/A | N/A | 12.0 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
DYM | Henneo | 2023-07-07 | 2023-07-10 | N | 1021 | N/A | 0.1 | 33.7 | 27.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.4 | N/A | N/A | N/A | N/A | 13.4 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-07-06 | 2023-07-10 | N | 2000 | N/A | 0.1 | 30.8 | 29.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.2 | N/A | N/A | N/A | N/A | 13.0 | N/A | N/A | N/A | N/A | N/A | N/A
Sondaxe | La Voz de Galicia | 2023-07-06 | 2023-07-10 | N | 1000 | N/A | 0.1 | 33.1 | 28.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.8 | N/A | N/A | N/A | N/A | 13.5 | N/A | N/A | N/A | N/A | N/A | N/A
Sigma Dos | El Mundo | 2023-07-04 | 2023-07-10 | N | 4482 | N/A | 0.1 | 34.6 | 28.6 | N/A | N/A | 2.2 | 2.0 | 1.1 | N/A | 1.1 | N/A | N/A | 12.7 | N/A | N/A | N/A | N/A | 12.3 | N/A | N/A | N/A | N/A | N/A | N/A
Simple Lógica | elDiario.es | 2023-07-03 | 2023-07-10 | N | 997 | N/A | 0.1 | 30.9 | 28.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.5 | N/A | N/A | N/A | N/A | 14.9 | N/A | N/A | N/A | N/A | N/A | N/A
GAD3 | ABC | 2023-06-29 | 2023-07-10 | N | 4003 | 69 | 0.1 | 36.3 | 28.6 | N/A | N/A | 2.2 | 1.9 | 1.2 | N/A | 1.3 | 0.4 | 0.5 | 12.3 | N/A | N/A | N/A | N/A | 12.0 | N/A | 0.5 | 0.1 | N/A | 0.1 | N/A
Sondaxe | La Voz de Galicia | 2023-07-05 | 2023-07-09 | N | 1000 | N/A | 0.1 | 33.7 | 27.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 14.5 | N/A | N/A | N/A | N/A | 13.6 | N/A | N/A | N/A | N/A | N/A | N/A
40dB | Prisa | 2023-07-04 | 2023-07-09 | N | 2500 | N/A | 0.1 | 31.0 | 29.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.0 | N/A | N/A | N/A | N/A | 13.5 | N/A | N/A | N/A | N/A | N/A | N/A
