Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SDS | Levica | LMŠ | SD | SMC | NSi | SAB | SNS | DeSUS | SLS | PSS | DD | ZS | PoS | ND | GS | LRG | K | Resni.ca | LIDE | VESNA | Other
Ninamedia | Dnevnik | 2023-03-13 | 2023-03-15 | N | 700 | N/A | 0.1 | 33.9 | 6.8 | N/A | 9.8 | N/A | 10.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 36.9 | N/A | N/A | N/A | N/A | N/A | 2.4
Mediana | Delo | 2023-03-06 | 2023-03-09 | N | 715 | N/A | 0.1 | 28.2 | 5.2 | N/A | 9.4 | N/A | 7.8 | N/A | 1.4 | N/A | 1.4 | 2.2 | N/A | N/A | N/A | 0.8 | 35.0 | N/A | 1.6 | 3.1 | N/A | 1.3 | 2.4
Mediana | POP TV | 2023-02-21 | 2023-02-23 | N | 717 | N/A | 0.1 | 28.8 | 6.5 | N/A | 6.6 | N/A | 8.3 | N/A | 1.3 | N/A | 1.4 | 2.5 | N/A | N/A | N/A | 1.2 | 34.8 | N/A | 0.0 | 3.5 | N/A | 2.1 | 0.8
Ninamedia | Dnevnik | 2023-02-13 | 2023-02-15 | N | 700 | N/A | 0.1 | 28.8 | 8.9 | N/A | 10.2 | N/A | 10.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 37.4 | N/A | N/A | N/A | N/A | N/A | 4.6
Mediana | Delo | 2023-02-06 | 2023-02-10 | N | 706 | N/A | 0.1 | 25.8 | 8.1 | N/A | 7.0 | N/A | 7.6 | N/A | 1.8 | N/A | 2.3 | 2.3 | N/A | N/A | N/A | 0.0 | 36.0 | N/A | 0.0 | 4.2 | N/A | 2.1 | 1.3
Mediana | POP TV | 2023-01-16 | 2023-01-19 | N | 715 | N/A | 0.1 | 27.2 | 5.0 | N/A | 8.2 | N/A | 7.4 | N/A | 1.3 | N/A | 2.0 | 2.5 | N/A | N/A | N/A | 1.3 | 37.9 | N/A | 0.5 | 2.0 | N/A | 1.9 | 1.6
Ninamedia | Dnevnik | 2023-01-09 | 2023-01-12 | N | 700 | N/A | 0.1 | 29.4 | 8.2 | N/A | 10.8 | N/A | 11.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 36.3 | N/A | N/A | N/A | N/A | N/A | 3.4
Mediana | Delo | 2023-01-03 | 2023-01-05 | N | 715 | N/A | 0.1 | 28.1 | 6.0 | N/A | 9.2 | N/A | 7.1 | N/A | 1.6 | N/A | 1.2 | 2.1 | N/A | N/A | N/A | 0.5 | 37.6 | N/A | 1.0 | 1.9 | N/A | 2.1 | 0.4
Mediana | POP TV | 2022-12-19 | 2022-12-22 | N | 719 | N/A | 0.1 | 22.9 | 6.0 | N/A | 8.4 | N/A | 10.4 | N/A | 1.8 | N/A | 2.2 | 2.1 | N/A | N/A | N/A | 1.1 | 36.7 | N/A | 0.6 | 3.8 | N/A | 2.0 | 2.0
Ninamedia | Dnevnik and Večer | 2022-12-12 | 2022-12-14 | N | 700 | N/A | 0.1 | 28.9 | 7.0 | N/A | 11.0 | N/A | 11.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 39.0 | N/A | N/A | N/A | N/A | N/A | 2.3
Mediana | Delo | 2022-12-05 | 2022-12-08 | N | 718 | N/A | 0.1 | 23.6 | 4.5 | N/A | 8.2 | N/A | 9.1 | N/A | 1.0 | N/A | 1.6 | 1.5 | N/A | N/A | N/A | 0.5 | 42.9 | N/A | 0.0 | 3.8 | N/A | 2.0 | 1.3
Mediana | POP TV | 2022-11-21 | 2022-11-24 | N | 723 | N/A | 0.1 | 24.0 | 5.0 | N/A | 7.8 | N/A | 7.8 | N/A | 2.5 | N/A | 3.1 | 2.4 | N/A | N/A | N/A | N/A | 40.1 | N/A | N/A | 2.6 | N/A | N/A | 4.7
Ninamedia | Dnevnik and Večer | 2022-11-07 | 2022-11-10 | N | 700 | N/A | 0.1 | 29.2 | 7.1 | N/A | 10.2 | N/A | 11.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 38.4 | N/A | N/A | N/A | N/A | N/A | 3.3
Mediana | Delo | 2022-11-07 | 2022-11-09 | N | 718 | N/A | 0.1 | 27.5 | 5.7 | N/A | 7.3 | N/A | 8.5 | N/A | 1.3 | N/A | 1.3 | 1.8 | N/A | N/A | N/A | 1.1 | 37.8 | N/A | 0.7 | 2.7 | N/A | 1.5 | 2.7
Mediana | POP TV | 2022-10-17 | 2022-10-19 | N | 724 | N/A | 0.1 | 22.3 | 6.5 | N/A | 9.2 | N/A | 9.6 | N/A | 2.4 | N/A | 0.5 | 1.4 | N/A | N/A | N/A | 1.2 | 37.5 | N/A | 0.2 | 4.4 | N/A | 1.5 | 3.2
Ninamedia | Dnevnik and Večer | 2022-10-10 | 2022-10-13 | N | 1000 | N/A | 0.1 | 30.6 | 7.6 | N/A | 10.2 | N/A | 12.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 37.8 | N/A | N/A | N/A | N/A | N/A | 1.4
Mediana | Delo | 2022-10-03 | 2022-10-06 | N | 719 | N/A | 0.1 | 27.2 | 7.1 | N/A | 7.3 | N/A | 7.9 | N/A | 1.0 | N/A | 1.6 | 2.1 | N/A | N/A | N/A | 0.6 | 36.2 | N/A | 1.4 | 4.0 | N/A | 1.0 | 2.6
