Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | SDS | Levica | LMŠ | SD | SMC | NSi | SAB | SNS | DeSUS | SLS | PSS | DD | ZS | PoS | ND | GS | LRG | K | Resni.ca | LIDE | VESNA | Other
Mediana | RTV SLO | 2021-12-27 | 2021-12-29 | N | 1007 | N/A | 0.1 | 16.1 | 5.9 | 5.4 | 8.3 | N/A | 4.6 | 5.0 | 2.3 | 1.1 | N/A | 4.7 | 1.5 | N/A | 5.2 | 7.6 | 2.5 | 17.9 | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2021-12-20 | 2021-12-23 | N | 709 | N/A | 0.1 | 27.1 | 14.4 | 9.5 | 15.7 | N/A | 9.5 | 4.3 | 1.6 | 1.4 | 1.1 | 3.9 | 2.6 | 2.5 | N/A | N/A | N/A | N/A | 1.4 | N/A | N/A | N/A | 5.1
Ninamedia | Dnevnik and Večer | 2021-12-14 | 2021-12-16 | N | 700 | N/A | 0.1 | 27.9 | 12.6 | 11.8 | 20.8 | N/A | 10.9 | 6.5 | 0.9 | 0.5 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.8
Parsifal | Nova 24TV | 2021-12-13 | 2021-12-16 | N | 724 | N/A | 0.1 | 30.2 | 10.0 | 9.2 | 21.2 | N/A | 7.7 | 3.8 | 2 | 1.2 | N/A | 2.1 | 0.6 | N/A | 4.8 | 2.7 | 0.9 | N/A | 1.2 | N/A | N/A | N/A | 2.6
Mediana | Delo | 2021-12-06 | 2021-12-09 | N | 717 | N/A | 0.1 | 27.3 | 11.8 | 6.9 | 17.0 | N/A | 8.2 | 8.4 | 2.3 | 1.7 | 2.7 | 3.6 | 2.2 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.8
Ninamedia | Dnevnik and Večer | 2021-12-02 | 2021-12-07 | N | 1002 | N/A | 0.1 | 20.6 | 10.2 | 10.9 | 18.0 | N/A | 7.1 | 5.8 | 1.1 | 0.9 | N/A | 2.7 | 1.8 | N/A | 4.5 | 2.8 | N/A | 12.2 | N/A | N/A | N/A | N/A | 1.4
Mediana | RTV SLO | 2021-11-29 | 2021-12-02 | N | 1021 | N/A | 0.1 | 23.7 | 12.2 | 12.1 | 17.2 | 1.2 | 8.6 | 6.3 | 2.3 | 2.0 | 2.5 | 2.9 | 2.2 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Mediana | RTV SLO | 2021-11-29 | 2021-12-02 | N | 1021 | N/A | 0.1 | 15.2 | 12.2 | 8.9 | 13.9 | N/A | 6.1 | 7.4 | 1.7 | 2.6 | N/A | 5.2 | 3.3 | N/A | 9.4 | 7.8 | 6.4 | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2021-11-01 | 2021-11-28 | N | 710 | N/A | 0.1 | 26.1 | 12.2 | 8.6 | 17.9 | 1.1 | 7.8 | 7.1 | 1.5 | 3.2 | 1.5 | 4.5 | 1.6 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9
Ninamedia | Dnevnik and Večer | 2021-11-09 | 2021-11-11 | N | 700 | N/A | 0.1 | 26.9 | 12.8 | 11.6 | 22.0 | 0.5 | 10.4 | 6.8 | 1.9 | 1.9 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Mediana | Delo | 2021-11-02 | 2021-11-04 | N | 709 | N/A | 0.1 | 24.5 | 11.3 | 9.4 | 20.1 | 0.6 | 9.3 | 5.8 | 3 | 0.6 | 2.5 | 2.8 | 3.0 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Parsifal | Nova 24TV | 2021-09-20 | 2021-11-04 | N | 4894 | N/A | 0.1 | 31.9 | 8.4 | 9.2 | 19.3 | 1.3 | 6.4 | 5.4 | 2 | 3.5 | N/A | 2.0 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.4
Mediana | POP TV | 2021-10-01 | 2021-10-24 | N | 712 | N/A | 0.1 | 27.7 | 13.4 | 8.3 | 17.1 | 1.8 | 7.5 | 6 | 3.6 | 1.3 | 1.9 | 2.4 | 0.9 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.4
Ninamedia | Dnevnik and Večer | 2021-10-12 | 2021-10-14 | N | 700 | N/A | 0.1 | 27.2 | 14.0 | 10.2 | 22.8 | 0.8 | 8.6 | 8.3 | 2.0 | 1.8 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
Mediana | Delo | 2021-10-04 | 2021-10-07 | N | 717 | N/A | 0.1 | 28.2 | 13.4 | 13.8 | 13.9 | 0.8 | 8.2 | 6.9 | 1.1 | 0.6 | 2.6 | 4.6 | 1.3 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Mediana | POP TV | 2021-09-01 | 2021-09-26 | N | 702 | N/A | 0.1 | 27.3 | 14.6 | 12.8 | 17.5 | N/A | 7.1 | 9.5 | 2.6 | N/A | 3.6 | 3.1 | N/A | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | Dnevnik and Večer | 2021-09-14 | 2021-09-16 | N | 700 | N/A | 0.1 | 28.0 | 14.0 | 13.6 | 20.3 | 0.8 | 8.1 | 5.3 | 2.4 | 1.4 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Mediana | Delo | 2021-09-06 | 2021-09-09 | N | 711 | N/A | 0.1 | 30.5 | 12.8 | 10.5 | 17.2 | 2.0 | 6.8 | 6.3 | 2.8 | 3.3 | 0.7 | 1.3 | 1.5 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.3
Parsifal | Nova 24TV | 2021-08-30 | 2021-09-02 | N | 726 | N/A | 0.1 | 23.2 | 12.8 | 11.6 | 16.3 | 1.7 | 4.1 | 6.2 | 5 | 4.1 | N/A | 2.3 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 11.6
Mediana | POP TV | 2021-08-01 | 2021-08-22 | N | 714 | N/A | 0.1 | 25.5 | 13.9 | 8.9 | 17.6 | 0.6 | 8.9 | 6.5 | 2.8 | 2.2 | 1.7 | 4.0 | 2.4 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9
Ninamedia | Dnevnik and Večer | 2021-08-10 | 2021-08-12 | N | 700 | N/A | 0.1 | 28.8 | 14.2 | 13.6 | 19.5 | 1.1 | 8.8 | 5.4 | 2.2 | 1.3 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Mediana | Delo | 2021-08-02 | 2021-08-05 | N | 717 | N/A | 0.1 | 25.9 | 12.7 | 11.1 | 19.3 | 1.1 | 5.6 | 3.2 | 2.7 | 2.4 | 3.0 | 3.9 | 1.2 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Mediana | POP TV | 2021-07-01 | 2021-07-25 | N | 714 | N/A | 0.1 | 27.4 | 12.2 | 12.0 | 17.8 | 0.9 | 6.4 | 4.1 | 2.7 | 3.5 | 2.1 | 2.9 | 1.5 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.6
Ninamedia | Dnevnik and Večer | 2021-07-13 | 2021-07-15 | N | 700 | N/A | 0.1 | 28.5 | 15.8 | 14.4 | 19.9 | 0.5 | 7.4 | 5.6 | 0.9 | 1.1 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Mediana | Delo | 2021-07-05 | 2021-07-07 | N | 710 | N/A | 0.1 | 25.7 | 12.5 | 11.4 | 17.4 | 0.6 | 8.5 | 4.8 | 1.3 | 5.1 | 1.8 | 4.8 | 3 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2021-06-01 | 2021-06-28 | N | 711 | N/A | 0.1 | 28.3 | 14.1 | 12.6 | 14.2 | 0.9 | 7.3 | 4.8 | 1.9 | 3.1 | 2.4 | 3.9 | 2.1 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.9
Ninamedia | Dnevnik and Večer | 2021-06-15 | 2021-06-17 | N | 700 | N/A | 0.1 | 30.6 | 11 | 14.1 | 14.9 | 1.0 | 10.4 | 5.4 | 1.8 | 1.4 | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.3
Episcenter | Domovina | 2021-06-10 | 2021-06-15 | N | 566 | N/A | 0.1 | 23.2 | 10.5 | 21.1 | 17.9 | N/A | 10.5 | 5.3 | N/A | N/A | N/A | 3.2 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Mediana | Delo | 2021-06-07 | 2021-06-10 | N | 710 | N/A | 0.1 | 26 | 12.9 | 14.6 | 16.2 | 0.8 | 5.3 | 3.5 | 2.6 | 4.1 | 2.4 | 2.9 | 3 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Parsifal | Planet TV | 2021-05-24 | 2021-05-26 | N | 752 | N/A | 0.1 | 30.2 | 8 | 15.7 | 14.9 | 1.7 | 7.9 | 2.5 | 3 | 3.9 | N/A | 2.5 | 0.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.4
Mediana | POP TV | 2021-05-01 | 2021-05-23 | N | 711 | N/A | 0.1 | 27.1 | 12.5 | 13.4 | 14.9 | 1.2 | 6.7 | 4.0 | 2.1 | 3.7 | 3.3 | 2.2 | 1.6 | 2.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | Dnevnik and Večer | 2021-05-11 | 2021-05-13 | N | 700 | N/A | 0.1 | 28.9 | 11.7 | 13.1 | 20.9 | 1.0 | 11.7 | 5.8 | 1.6 | 0.8 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Parsifal | Nova 24TV | 2021-05-10 | 2021-05-13 | N | 726 | N/A | 0.1 | 32.1 | 7.6 | 12.1 | 17.6 | N/A | 7.0 | N/A | 2.6 | 3.5 | 6.0 | 2.9 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | Delo | 2021-05-03 | 2021-05-06 | N | 712 | N/A | 0.1 | 26.9 | 11.6 | 10.7 | 18.7 | 1.5 | 6.7 | 5.2 | 3.1 | 1.8 | 4.6 | 2.1 | 2.3 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2021-04-01 | 2021-04-25 | N | 714 | N/A | 0.1 | 27.1 | 12.2 | 13.1 | 16.6 | 0.9 | 7.9 | 6.6 | 2.2 | 1.7 | 1.2 | 3.5 | 1.7 | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.2
Ninamedia | Dnevnik and Večer | 2021-04-13 | 2021-04-15 | N | 700 | N/A | 0.1 | 29.7 | 10.8 | 15.8 | 20.6 | 0.5 | 11.6 | 5.6 | 0.3 | 0.5 | 1.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Parsifal | Nova 24TV | 2021-04-12 | 2021-04-14 | N | 762 | N/A | 0.1 | 31.3 | 10 | 16.9 | 17.7 | 1.1 | 6.4 | 4.1 | 3.6 | 2.5 | 4.1 | 1.3 | 0.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.9
Mediana | POP TV | 2021-03-01 | 2021-03-28 | N | 713 | N/A | 0.1 | 27.2 | 12.1 | 14 | 15.9 | 1 | 6.7 | 5.7 | 3.3 | 2 | 2.2 | 1.2 | 2.6 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Mediana | Delo | 2021-03-08 | 2021-03-12 | N | 703 | N/A | 0.1 | 25.7 | 14.1 | 13.8 | 16.3 | 1.3 | 7.2 | 3.5 | 3.3 | 3.6 | 3.5 | 1.9 | 1.9 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.9
Ninamedia | Dnevnik and Večer | 2021-03-09 | 2021-03-11 | N | 700 | N/A | 0.1 | 29.8 | 12.1 | 13.9 | 20.3 | 1.4 | 6.6 | 6.0 | 2.7 | 1.7 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.5
Parsifal | Nova 24TV | 2021-03-01 | 2021-03-04 | N | 717 | N/A | 0.1 | 28.7 | 10 | 12.4 | 18.3 | 1.8 | 6.9 | 3.6 | 5.1 | 3.2 | 2.1 | 2.1 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Mediana | POP TV | 2021-02-01 | 2021-02-28 | N | 710 | N/A | 0.1 | 27.5 | 12.4 | 12 | 16.6 | 1.2 | 6.5 | 5.9 | 3.5 | 1.8 | 3.9 | 3.0 | 2.4 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.1
Mediana | Delo | 2021-02-09 | 2021-02-11 | N | 712 | N/A | 0.1 | 26.8 | 15.6 | 11.1 | 14.8 | 1.4 | 7.3 | 5.3 | 3.6 | 3.3 | 1.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.7
Ninamedia | Dnevnik and Večer | 2021-02-09 | 2021-02-11 | N | 700 | N/A | 0.1 | 26.6 | 13.7 | 15.9 | 20.4 | 1.6 | 6.5 | 4.8 | 1.9 | 4.8 | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.5
Parsifal | Nova 24TV | 2021-01-25 | 2021-01-28 | N | 732 | N/A | 0.1 | 36.4 | 11.9 | 11.9 | 12.5 | 1.1 | 5.6 | 2.9 | 2.3 | 5.6 | 3.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.4
Mediana | Delo | 2021-01-08 | 2021-01-25 | N | 710 | N/A | 0.1 | 26.1 | 10.7 | 13.6 | 13.9 | 2.2 | 7.7 | 6.3 | 3.7 | 3.9 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | Dnevnik | 2021-01-12 | 2021-01-14 | N | 700 | N/A | 0.1 | 29.1 | 14.7 | 15.8 | 18.4 | 1.0 | 7.2 | 4.4 | 1.8 | 4.7 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | Delo | 2021-01-04 | 2021-01-07 | N | 704 | N/A | 0.1 | 22.9 | 16.1 | 12.5 | 14.2 | 1.8 | 8 | 5.2 | 3.3 | 3.5 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.9
CRJM | Delo | 2020-12-01 | 2020-12-30 | N | 953 | N/A | 0.1 | 22.4 | 13.2 | 20.5 | 17.4 | 1.5 | 6.2 | 1.9 | 3.5 | 7.6 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.5
Mediana | Delo | 2020-12-01 | 2020-12-28 | N | 712 | N/A | 0.1 | 27.9 | 13.6 | 11.8 | 16.5 | 1.5 | 9.0 | 3.7 | 2.1 | 2.7 | 2.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Parsifal | Nova 24TV | 2020-12-21 | 2020-12-23 | N | 757 | N/A | 0.1 | 32.4 | 11.1 | 15.3 | 12.4 | 1.9 | 4.0 | 3.7 | 2.2 | 9.9 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | Dnevnik | 2020-12-15 | 2020-12-17 | N | 700 | N/A | 0.1 | 30.3 | 13.4 | 17.2 | 17.4 | 0.1 | 5.6 | 4.3 | 2.9 | 5.4 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Parsifal | Nova 24TV | 2020-12-07 | 2020-12-09 | N | 727 | N/A | 0.1 | 31.8 | 7.6 | 17.3 | 12.5 | 1.1 | 10.2 | 4.1 | 0.7 | 8.7 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.4
Mediana | Delo | 2020-12-07 | 2020-12-09 | N | 711 | N/A | 0.1 | 26.0 | 14.5 | 15.5 | 11.8 | 1.5 | 6.9 | 4.9 | 3.5 | 5.5 | 1.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.9
Mediana | POP TV | 2020-11-01 | 2020-11-23 | N | 711 | N/A | 0.1 | 24.7 | 13 | 16.2 | 16.5 | 1 | 6.4 | 3 | 3.9 | 5.8 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.3
Ninamedia | Dnevnik and Večer | 2020-11-10 | 2020-11-12 | N | 700 | N/A | 0.1 | 29.3 | 11.8 | 18.2 | 18.1 | 0.3 | 6.6 | 4.7 | 2.9 | 3.6 | 2.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.4
Mediana | Delo | 2020-11-02 | 2020-11-05 | N | 720 | N/A | 0.1 | 28.1 | 12.2 | 14.2 | 16.8 | 0.7 | 8.5 | 1.1 | 4.3 | 5.6 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Parsifal | Nova 24TV | 2020-11-02 | 2020-11-04 | N | 704 | N/A | 0.1 | 32.4 | 9 | 15.3 | 16.9 | 0.8 | 6.4 | 3.6 | 3 | 7.1 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4
Mediana | POP TV | 2020-10-01 | 2020-10-25 | N | 714 | N/A | 0.1 | 26.9 | 11.8 | 13.7 | 16.9 | 1.7 | 7.6 | 4.8 | 5.3 | 2.6 | 1.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.1
Ninamedia | Dnevnik and Večer | 2020-10-13 | 2020-10-15 | N | 700 | N/A | 0.1 | 29.3 | 11.1 | 18.2 | 17.8 | 1.1 | 8.6 | 4.5 | 2.9 | 1.7 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.5
Mediana | POP TV | 2020-10-01 | 2020-10-08 | N | 712 | N/A | 0.1 | 29.3 | 12.4 | 16.3 | 14.6 | 1.1 | 7.7 | 4.5 | 2.0 | 4.4 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2020-09-01 | 2020-09-27 | N | 713 | N/A | 0.1 | 26.5 | 9.7 | 18.9 | 15.3 | 0.5 | 8.7 | 3.8 | 5.1 | 1.6 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.9
Parsifal | Nova 24TV | 2020-06-01 | 2020-09-18 | N | 701 | N/A | 0.1 | 34.9 | 8.1 | 15.2 | 17.7 | 0.8 | 4.6 | 3.7 | 3.5 | 5.5 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | Dnevnik and Večer | 2020-09-15 | 2020-09-17 | N | 700 | N/A | 0.1 | 33.6 | 10.9 | 13.7 | 20.7 | 0.6 | 7.8 | 2.9 | 2.4 | 2 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.9
Mediana | Delo | 2020-09-07 | 2020-09-10 | N | 724 | N/A | 0.1 | 30.8 | 10 | 13 | 16 | 2.6 | 5.2 | 5 | 2.4 | 4.9 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.8
Mediana | POPTV | 2020-08-01 | 2020-08-31 | N | 714 | N/A | 0.1 | 27.8 | 12.2 | 14.5 | 14.5 | 1.7 | 6.9 | 2.6 | 4.6 | 5.6 | 2.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | Dnevnik and Večer | 2020-08-11 | 2020-08-13 | N | 700 | N/A | 0.1 | 35.9 | 10.2 | 14.6 | 21.5 | 0.2 | 8.8 | 1.5 | 3.3 | 2.8 | 0.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Mediana | POPTV | 2020-08-03 | 2020-08-06 | N | 715 | N/A | 0.1 | 29.8 | 10.9 | 14.8 | 17.1 | 2.1 | 7.6 | 2.9 | 2.4 | 2.3 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2020-08-03 | 2020-08-06 | N | 715 | N/A | 0.1 | 29.8 | 10.9 | 14.8 | 17.1 | 2.1 | 7.6 | 2.9 | 2.4 | 2.3 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.6
Mediana | POPTV | 2020-07-01 | 2020-07-26 | N | 717 | N/A | 0.1 | 26.5 | 14.2 | 12.3 | 18.8 | 0.6 | 5.8 | 3.7 | 3.2 | 3.5 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2020-07-01 | 2020-07-26 | N | 717 | N/A | 0.1 | 26.5 | 14.2 | 12.3 | 18.8 | 0.6 | 5.8 | 3.7 | 3.2 | 3.5 | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2020-07-06 | 2020-07-09 | N | 725 | N/A | 0.1 | 27.2 | 9.7 | 18.4 | 17.2 | 2.9 | 6.3 | 2.3 | 4.1 | 3.8 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POPTV | 2020-07-06 | 2020-07-09 | N | 725 | N/A | 0.1 | 27.2 | 9.7 | 18.4 | 17.2 | 2.9 | 6.3 | 2.3 | 4.1 | 3.8 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Parsifal | Nova 24TV | 2020-06-29 | 2020-07-02 | N | 715 | N/A | 0.1 | 31.1 | 9.0 | 20.7 | 16.5 | 0.6 | 5.3 | 1.2 | 4.3 | 5.7 | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POP TV | 2020-06-01 | 2020-06-28 | N | 717 | N/A | 0.1 | 26.8 | 14.2 | 16.4 | 13.2 | N/A | 7.7 | 2.9 | 5.9 | 7.2 | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.6
Parsifal | Nova 24TV | 2020-06-15 | 2020-06-17 | N | 723 | N/A | 0.1 | 32.8 | 8.5 | 18 | 13.2 | 1.6 | 7.8 | 2.2 | 2 | 5.9 | 4.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9
Ninamedia | Dnevnik and Večer | 2020-06-09 | 2020-06-11 | N | 700 | N/A | 0.1 | 33.1 | 12 | 15.9 | 22.2 | 0.4 | 5.7 | 1.9 | 2 | 4.2 | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.9
Mediana | POP TV | 2020-05-18 | 2020-05-21 | N | 718 | N/A | 0.1 | 30.7 | 12.1 | 23.2 | 10.9 | 0.3 | 6.1 | 4.0 | 4.0 | 4.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.3
Ninamedia | Dnevnik and Večer | 2020-05-12 | 2020-05-13 | N | 700 | N/A | 0.1 | 22.1 | 6.1 | 12.2 | 8.2 | 0.3 | 4.1 | 1.1 | 1.8 | 3.7 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.8
Parsifal | Nova 24TV | 2020-05-06 | 2020-05-08 | N | 776 | N/A | 0.1 | 30.6 | 9.5 | 17.9 | 12.8 | 0.2 | 6.2 | 3.7 | 5.8 | 6.4 | 2.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Mediana | Delo | 2020-05-04 | 2020-05-08 | N | 712 | N/A | 0.1 | 25.3 | 12.3 | 21.7 | 13.0 | 3.6 | 8.2 | 1.4 | 2.8 | 5.3 | 0.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | POPTV | 2020-04-26 | 2020-04-26 | N | 741 | N/A | 0.1 | 19.3 | 7.8 | 11.9 | 6.8 | 0.9 | 4.0 | 3.1 | 2.8 | 5.2 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.6
Ninamedia | Dnevnik and Večer | 2020-04-14 | 2020-04-16 | N | 700 | N/A | 0.1 | 37.3 | 10.1 | 16.2 | 14.7 | 1.7 | 7.9 | 1.0 | 5.8 | 4.3 | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Mediana | Delo | 2020-04-06 | 2020-04-09 | N | 724 | N/A | 0.1 | 29.1 | 10.3 | 18.4 | 13.6 | 1.2 | 6.1 | 4.0 | 5.0 | 4.8 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Ninamedia | Dnevnik and Večer | 2020-03-10 | 2020-03-12 | N | 700 | N/A | 0.1 | 34.2 | 9.3 | 21.8 | 13.5 | 0.7 | 9.2 | 1.0 | 4.1 | 3.8 | 1.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.9
Mediana | Delo | 2020-02-25 | 2020-03-04 | N | 777 | N/A | 0.1 | 31.0 | 11.1 | 21.8 | 10.6 | 4.0 | 7.9 | 1.9 | 4.0 | 4.7 | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 0.0
Parsifal | Nova 24TV | 2020-02-19 | 2020-02-20 | N | 720 | N/A | 0.1 | 32.8 | 7.9 | 23.7 | 7.8 | 3.7 | 5.3 | 1.3 | 4.4 | 6.0 | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.8
Ninamedia | RTV SLO | 2020-01-14 | 2020-02-16 | N | 700 | N/A | 0.1 | 25.4 | 9.0 | 29.2 | 12.2 | 0.5 | 9.8 | 1.2 | 3.5 | 4.4 | 3.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 1.4
