Polling Firm | Commissioners | Fieldwork Start | Fieldwork End | Scope | Sample Size | Participation | Precision | GERB | BSPzB | OP | DPS | Volya | RB | DSB | ABV | Da! | DB | Vazrazhdane | VMRO | Ataka | NFSB | ITN | IBG-NI | GERB—SDS | RzB | BP | PP | BV | NDSV | PP–DB | Levitsata! | Other
Център за анализи и маркетинг | N/A | 2020-08-01 | 2020-08-05 | N | 1021 | N/A | 0.1 | N/A | 19.7 | 4.3 | 10.8 | 2.1 | N/A | N/A | N/A | N/A | 10.1 | N/A | N/A | N/A | N/A | 13.9 | 5 | 30.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.9
Маркет ЛИНКС | bTV | 2020-07-28 | 2020-08-03 | N | 1093 | 65.3 | 0.1 | 23.3 | 20.7 | 4.6 | 9.6 | N/A | N/A | N/A | N/A | N/A | 10.1 | N/A | N/A | N/A | N/A | 23.0 | 4.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.7
Gallup | N/A | 2020-07-01 | 2020-07-31 | N | N/A | N/A | 0.1 | 27.36 | 25.75 | 4.45 | 8.49 | 2.43 | N/A | N/A | N/A | N/A | 3.23 | N/A | N/A | N/A | N/A | 8.63 | 1.75 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 17.92
Алфа рисърч | Дневник | 2020-07-23 | 2020-07-30 | N | 1017 | 54.3 | 0.1 | 26.7 | 19.2 | 4.1 | 8.3 | 0.9 | N/A | N/A | N/A | N/A | 12.3 | 0.6 | N/A | N/A | N/A | 18.8 | 5.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.3
Sova Harris | N/A | 2020-06-26 | 2020-07-01 | N | 1000 | 57.0 | 0.1 | 37.4 | 21.4 | N/A | 7.7 | 4.2 | N/A | N/A | 1.8 | N/A | 4.2 | 2.8 | 6.8 | 1.2 | 0.7 | 9.1 | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Gallup | N/A | 2020-06-01 | 2020-06-30 | N | N/A | N/A | 0.1 | 29.04 | 23.13 | 3.81 | 7.88 | 2.37 | N/A | N/A | N/A | N/A | 3.15 | N/A | N/A | N/A | N/A | 6.96 | 2.37 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 21.29
Маркет ЛИНКС | bTV | 2020-05-27 | 2020-06-03 | N | 995 | 82.0 | 0.1 | 34.1 | 25.6 | N/A | 9.8 | N/A | N/A | N/A | N/A | N/A | 8.5 | N/A | 3.7 | N/A | N/A | 9.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.5
Алфа рисърч | Дневник | 2020-04-28 | 2020-05-05 | N | 1000 | 62.2 | 0.1 | 33.4 | 19.6 | 6.3 | 10.3 | 1.6 | N/A | N/A | N/A | N/A | 5.9 | N/A | N/A | 1.4 | N/A | 14.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.8
Медиана | N/A | 2020-02-21 | 2020-02-28 | N | 1008 | N/A | 0.1 | 29.4 | 25.74 | 5.83 | 13.28 | 1.9 | N/A | N/A | N/A | N/A | 2.71 | N/A | N/A | N/A | N/A | 12.87 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.26
Тренд | 24 часа | 2020-02-03 | 2020-02-10 | N | 1007 | 63.9 | 0.1 | 31.8 | 28.3 | N/A | 10.5 | 2.0 | N/A | N/A | N/A | N/A | 6.3 | N/A | 4.1 | 1.6 | N/A | 11.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.7
Алфа рисърч | Дневник | 2019-12-05 | 2019-12-12 | N | 1017 | 72.7 | 0.1 | 29.8 | 25.0 | 7.3 | 10.7 | 2.1 | N/A | N/A | N/A | N/A | 7.0 | N/A | N/A | 1.9 | N/A | 11.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.3
Маркет ЛИНКС | bTV | 2019-11-21 | 2019-11-28 | N | 980 | 63.0 | 0.1 | 28.6 | 25.4 | 6.3 | 12.7 | 1.6 | N/A | N/A | N/A | N/A | 7.9 | N/A | N/A | N/A | N/A | 12.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.2
Тренд | 24 часа | 2019-11-07 | 2019-11-15 | N | 1008 | 64.3 | 0.1 | 37.0 | 28.6 | N/A | 10.7 | 1.9 | N/A | N/A | N/A | N/A | 4.8 | N/A | 5.3 | 1.7 | N/A | 7.9 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Алфа рисърч | Дневник | 2019-09-10 | 2019-09-16 | N | 1023 | 72.6 | 0.1 | 29.6 | 25.8 | 6.6 | 11.8 | 2.8 | N/A | N/A | N/A | N/A | 5.6 | N/A | N/A | 2.6 | N/A | 11.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7
Тренд | 24 часа | 2019-07-05 | 2019-07-12 | N | 1008 | 62.5 | 0.1 | 38.1 | 30.2 | N/A | 11.4 | 1.9 | N/A | N/A | N/A | N/A | 5.3 | N/A | 5.8 | 1.8 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.5
Маркет ЛИНКС | bTV | 2019-06-11 | 2019-06-19 | N | 1001 | 87.7 | 0.1 | 34.9 | 33.0 | 6.8 | 9.1 | 3.8 | N/A | N/A | N/A | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.4
Тренд | N/A | 2019-06-05 | 2019-06-12 | N | 1008 | N/A | 0.1 | 36.7 | 29.1 | 7.4 | 10.9 | 2 | N/A | N/A | N/A | N/A | 5.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.8
Медиана | N/A | 2019-05-02 | 2019-05-07 | E | 1008 | N/A | 1 | 30 | 32 | N/A | 11 | 5 | N/A | N/A | 4 | N/A | 3 | N/A | 5 | 3 | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Алфа рисърч | Дневник | 2019-04-20 | 2019-04-30 | E | 1015 | N/A | 1 | 33 | 33 | N/A | 10 | 2 | N/A | N/A | 1 | N/A | 5 | N/A | 6 | 1 | 2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Маркет ЛИНКС | N/A | 2019-04-12 | 2019-04-22 | E | 1049 | N/A | 0.1 | 35.4 | 35.9 | N/A | 7.0 | 1.9 | N/A | N/A | N/A | N/A | 5.3 | N/A | 5.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.8
Тренд | 24 часа | 2019-04-05 | 2019-04-12 | E | 1008 | N/A | 0.1 | 30.5 | 31.3 | N/A | 12.7 | 3.6 | N/A | N/A | 1.3 | N/A | 4.3 | N/A | 5.5 | 2.0 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.5
Gallup | N/A | 2019-04-05 | 2019-04-11 | E | 1015 | N/A | 0.1 | 30.4 | 31.5 | N/A | 10.9 | 3.4 | 2.0 | N/A | 1.5 | N/A | 4.4 | N/A | 4.9 | 1.9 | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.8
Алфа рисърч | Дневник | 2019-03-22 | 2019-03-26 | E | 1011 | N/A | 0.1 | 33.9 | 33.4 | N/A | 10.6 | 1.9 | N/A | N/A | 1.2 | N/A | 5.1 | N/A | 4.1 | 2.1 | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.5
Тренд | 24 часа | 2019-03-06 | 2019-03-13 | E | 1005 | N/A | 0.1 | 33.6 | 30.4 | N/A | 12.1 | 3.2 | N/A | N/A | N/A | N/A | 4.4 | N/A | 4.4 | 2.3 | 1.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.8
Sova Harris | N/A | 2019-03-06 | 2019-03-11 | E | 1000 | N/A | 0.1 | 38.2 | 30.6 | N/A | 11.5 | 3.3 | N/A | N/A | 1.3 | N/A | 3.2 | N/A | 3.0 | 3.0 | 1.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.6
AFIS | N/A | 2019-02-22 | 2019-02-28 | E | 1010 | N/A | 0.1 | 31.6 | 37.5 | 7.3 | 13.0 | N/A | N/A | N/A | N/A | N/A | 1.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.0
Exacta | N/A | 2019-02-19 | 2019-02-28 | E | 1000 | N/A | 0.1 | 35.1 | 29.0 | 9.6 | 10.3 | 1.5 | N/A | N/A | 1.5 | N/A | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.3
Маркет ЛИНКС | N/A | 2019-02-15 | 2019-02-25 | E | 1018 | N/A | 0.1 | 36.2 | 29.7 | 7.5 | 8.3 | 2.5 | N/A | N/A | N/A | N/A | 6.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.2
Тренд | 24 часа | 2019-02-05 | 2019-02-13 | E | 1007 | N/A | 0.1 | 33.6 | 31.2 | 6.8 | 11.7 | 2.7 | N/A | N/A | N/A | N/A | 4.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.9
Sova Harris | N/A | 2019-01-19 | 2019-01-21 | E | 985 | N/A | 0.1 | 36.2 | 31.4 | 9.1 | 9.1 | 2.8 | N/A | N/A | 1.3 | N/A | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.0
Маркет ЛИНКС | N/A | 2019-01-12 | 2019-01-21 | E | 1007 | N/A | 0.1 | 37.9 | 27.1 | 8.5 | 10.0 | 1.3 | N/A | N/A | N/A | N/A | 6.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 8.7
AFIS | N/A | 2019-01-14 | 2019-01-19 | E | 1010 | N/A | 0.1 | 32.9 | 34.6 | 4.7 | 11.0 | 1.4 | 2 | N/A | N/A | N/A | 1.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 12.0
Тренд | 24 часа | 2019-01-10 | 2019-01-17 | E | 1008 | N/A | 1 | 36 | 34 | 7 | 14 | 3 | N/A | N/A | N/A | N/A | 4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Алфа рисърч | Дневник | 2018-12-14 | 2018-12-18 | E | 1027 | N/A | 1 | 33 | 31 | 6 | 11 | 4 | N/A | N/A | N/A | N/A | 6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A
Exacta | N/A | 2018-12-10 | 2018-12-17 | N | 1000 | 66.0 | 0.1 | 35.6 | 31.5 | 5.8 | 7.7 | 1.5 | 1.5 | N/A | 1.5 | N/A | 3.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.6
Тренд | 24 часа | 2018-11-30 | 2018-12-06 | N | 1007 | 61.5 | 0.1 | 36.1 | 33.7 | 7.2 | 10.6 | 2.3 | 1.6 | N/A | N/A | N/A | 3.4 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.2
Маркет ЛИНКС | N/A | 2018-11-16 | 2018-11-25 | N | 1005 | 41.0 | 0.1 | 32.8 | 30.7 | 4.5 | 8.9 | 2.1 | N/A | N/A | N/A | N/A | 6.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 15.0
Тренд | 24 часа | 2018-11-06 | 2018-11-12 | N | 1004 | 59.8 | 0.1 | 35.5 | 33.3 | 7.0 | 10.9 | 2.3 | 1.8 | N/A | N/A | N/A | 3.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.0
Маркет ЛИНКС | N/A | 2018-06-23 | 2018-10-28 | N | 1065 | 55.8 | 0.1 | 36.4 | 30.3 | 7.5 | 7.3 | 1.8 | N/A | N/A | N/A | N/A | 5.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 10.9
Маркет ЛИНКС | N/A | 2018-10-15 | 2018-10-24 | N | 1032 | 56.8 | 0.1 | 34.2 | 30.5 | 7.4 | 7.9 | 1.4 | N/A | N/A | N/A | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 13.2
Тренд | 24 часа | 2018-10-01 | 2018-10-09 | N | 1006 | 61.4 | 0.1 | 36.5 | 32.4 | 9.0 | 10.9 | 2.8 | 1.6 | N/A | N/A | N/A | 3.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.7
Exacta | N/A | 2018-09-28 | 2018-10-05 | N | 1000 | 65.8 | 0.1 | 36.0 | 30.5 | 8.4 | 9.3 | 1.8 | 1.5 | N/A | 1.7 | N/A | 3.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.8
Алфа рисърч | Дневник | 2018-09-23 | 2018-09-30 | N | 1027 | 63.4 | 0.1 | 35.0 | 31.1 | 7.4 | 10.4 | 3.2 | N/A | N/A | N/A | N/A | 4.6 | 0.8 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.6
Sova Harris | БГНЕС | 2018-09-08 | 2018-09-14 | N | 1000 | 59.1 | 0.1 | 40.8 | 33.8 | 8.0 | 10.5 | 1.4 | N/A | 0.5 | 0.7 | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.0
Тренд | 24 часа | 2018-09-04 | 2018-09-11 | N | 1006 | 63.1 | 0.1 | 36.3 | 31.2 | 9.0 | 10.1 | 2.4 | 2.1 | N/A | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.4
Тренд | 24 часа | 2018-08-01 | 2018-08-10 | N | 1006 | 63.0 | 0.1 | 37.1 | 31.9 | 8.9 | 9.2 | 2.2 | 1.9 | N/A | N/A | N/A | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.4
Тренд | 24 часа | 2018-07-01 | 2018-07-08 | N | 1007 | 63.0 | 0.1 | 37.4 | 30.5 | 8.6 | 8.8 | 2.4 | 1.7 | N/A | N/A | N/A | 3.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.8
Медиана | N/A | 2018-07-01 | 2018-07-06 | N | 1008 | 77.7 | 0.1 | 31.9 | 26.4 | 12.5 | 10.7 | 2.7 | 1.8 | 0.5 | 2.4 | N/A | 2.1 | N/A | N/A | N/A | N/A | 6.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 3.1
Алфа рисърч | Дневник | 2018-06-17 | 2018-06-25 | N | 1017 | 65.4 | 0.1 | 37.5 | 30.7 | 7.6 | 7.5 | 3.4 | N/A | N/A | N/A | N/A | 3.4 | 0.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.3
Тренд | 24 часа | 2018-06-01 | 2018-06-09 | N | 1008 | 63.0 | 0.1 | 36.7 | 31.4 | 8.7 | 10.5 | 3.0 | 1.9 | N/A | N/A | N/A | 3.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.4
Тренд | 24 часа | 2018-05-02 | 2018-05-10 | N | 1009 | 61.5 | 0.1 | 37.1 | 31.1 | 8.6 | 10.4 | 2.8 | 2.1 | N/A | N/A | N/A | 3.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.2
Тренд | 24 часа | 2018-03-01 | 2018-03-07 | N | 1004 | 60.4 | 0.1 | 34.9 | 30.5 | 8.4 | 10.9 | 2.6 | 2.6 | 1.7 | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.8
Тренд | 24 часа | 2018-02-01 | 2018-02-08 | N | 1004 | 59.8 | 0.1 | 34.6 | 30.4 | 8.7 | 10.7 | 2.5 | 2.0 | 1.7 | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.9
Тренд | 24 часа | 2018-01-10 | 2018-01-18 | N | 1002 | 60.9 | 0.1 | 35.8 | 30.0 | 8.7 | 10.0 | 2.6 | 3.1 | 1.6 | N/A | 2.6 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.4
Exacta | N/A | 2017-12-07 | 2017-12-13 | N | 1000 | 67.5 | 0.1 | 41.3 | 30.7 | 9.0 | 8.4 | 2.7 | 2.1 | 1.9 | N/A | 1.0 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 2.8
Тренд | 24 часа | 2017-12-01 | 2017-12-10 | N | 1003 | 60.6 | 0.1 | 36.6 | 29.7 | 8.6 | 9.9 | 2.6 | 3.1 | 1.8 | N/A | 2.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.1
Маркет ЛИНКС | N/A | 2017-11-24 | 2017-12-04 | N | 1058 | 58.6 | 0.1 | 37.7 | 28.8 | 6.5 | 6.3 | 2.7 | N/A | 3.6 | N/A | 5.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.0
Тренд | 24 часа | 2017-11-03 | 2017-11-12 | N | 1005 | 60.6 | 0.1 | 33.7 | 28.3 | 8.6 | 10.0 | 2.9 | 2.9 | 1.7 | N/A | 2.2 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 9.7
Маркет ЛИНКС | N/A | 2017-10-06 | 2017-10-16 | N | 1017 | 57.7 | 0.1 | 35.9 | 30.0 | 7.3 | 5.7 | 5.7 | 2.3 | 2.1 | 1.7 | 5.5 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 4.0
Тренд | 24 часа | 2017-03-10 | 2017-03-16 | N | 1004 | 67.0 | 0.1 | 29.8 | 27.9 | 10.2 | 8.7 | 7.3 | 3.8 | 2.3 | 2.6 | 2.1 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 5.3
Тренд | 24 часа | 2017-02-02 | 2017-02-09 | N | 1002 | 61.0 | 0.1 | 29.7 | 28.7 | 9.9 | 9.0 | 6.5 | 3.4 | 2.0 | 2.0 | 2.3 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 6.5
Тренд | N/A | 2017-01-10 | 2017-01-17 | N | 1002 | N/A | 0.1 | 32.2 | 29.3 | 10.4 | 7.8 | 5.9 | 3.7 | 1.2 | 1.0 | 0.7 | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | N/A | 7.8
